ID,Unit,Question,Choice1,Choice2,Choice3,Choice4,Choice5,Answer
1,M01MCIE,いただきます.jpg,こんにちは.mp3,おはよう.mp3,いただきます.mp3,おかえりなさいなさい.mp3,ありがとう.mp3,3
2,M01MCIE,ありがとう.jpg,さようなら.mp3,ありがとう.mp3,すみません.mp3,おやすみ.mp3,またね.mp3,2
3,M01MCIE,ありがとうございます.jpg,ありがとうございます.mp3,こんばんは.mp3,おかえりなさい.mp3,こんにちは.mp3,はじめまして.mp3,1
4,M01MCIE,いいえ.jpg,いいえ.mp3,はい.mp3,こんにちは.mp3,じゃあね.mp3,すみません.mp3,1
5,M01MCIE,いってきます.jpg,ただいま.mp3,いただきます.mp3,またね.mp3,おやすみ.mp3,いってきます.mp3,5
6,M01MCIE,いってらっしゃい.jpg,おやすみなさい.mp3,またね.mp3,おかえりなさいなさい.mp3,ありがとう.mp3,いってらっしゃい.mp3,5
7,M01MCIE,おかえり（なさい）.jpg,おかえりなさい.mp3,おはよう.mp3,こんにちは.mp3,さようなら.mp3,ありがとう.mp3,1
8,M01MCIE,おはよう.jpg,おはよう.mp3,こんにちは.mp3,こんばんは.mp3,こんにちは.mp3,またね.mp3,1
9,M01MCIE,おはようございます.jpg,おはようございます.mp3,こんばんは.mp3,おやすみ.mp3,こんにちは.mp3,すみません.mp3,1
10,M01MCIE,おやすみ（なさい）.jpg,おやすみなさい.mp3,こんにちは.mp3,ありがとう.mp3,こんにちは.mp3,おかえりなさい.mp3,1
11,M01MCIE,ごちそうさま（でした）.jpg,ごちそうさまでした.mp3,さようなら.mp3,すみません.mp3,こんにちは.mp3,おかえりなさいなさい.mp3,1
12,M01MCIE,こんにちは.jpg,こんにちは.mp3,おはよう.mp3,おやすみ.mp3,こんにちは.mp3,またね.mp3,1
13,M01MCIE,こんばんは.jpg,こんばんは.mp3,おはよう.mp3,おやすみ.mp3,こんにちは.mp3,ありがとう.mp3,1
14,M01MCIE,さようなら.jpg,さようなら.mp3,こんにちは.mp3,ありがとう.mp3,すみません.mp3,おかえりなさい.mp3,1
15,M01MCIE,すみません.jpg,すみません.mp3,ありがとう.mp3,おやすみ.mp3,こんにちは.mp3,またね.mp3,1
16,M01MCIE,ただいま.jpg,ただいま.mp3,さようなら.mp3,おはよう.mp3,ありがとう.mp3,いただきます.mp3,1
17,M01MCIE,はじめまして.jpg,はじめまして.mp3,さようなら.mp3,ありがとう.mp3,こんにちは.mp3,おかえりなさい.mp3,1
18,M01MCIE,よろしくおねがいします.jpg,よろしくおねがいします.mp3,おやすみ.mp3,すみません.mp3,こんにちは.mp3,またね.mp3,1
19,M01MCIE,いただきます.jpg,おはよう.mp3,いただきます.mp3,さようなら.mp3,ありがとう.mp3,すみません.mp3,2
20,M01MCIE,ありがとう.jpg,こんにちは.mp3,ありがとう.mp3,おやすみ.mp3,すみません.mp3,おかえりなさい.mp3,2
21,M01MCIE,ありがとうございます.jpg,おはよう.mp3,ありがとうございます.mp3,こんばんは.mp3,こんにちは.mp3,またね.mp3,2
22,M01MCIE,いいえ.jpg,はい.mp3,いいえ.mp3,こんにちは.mp3,すみません.mp3,ありがとう.mp3,2
23,M01MCIE,いってきます.jpg,さようなら.mp3,いってきます.mp3,おかえりなさいなさい.mp3,おやすみ.mp3,こんにちは.mp3,2
24,M01MCIE,いってらっしゃい.jpg,またね.mp3,いってらっしゃい.mp3,おやすみ.mp3,ありがとう.mp3,こんにちは.mp3,2
25,M01MCIE,おかえり（なさい）.jpg,おかえりなさい.mp3,こんばんは.mp3,おはよう.mp3,こんにちは.mp3,すみません.mp3,1
26,M01MCIE,おはよう.jpg,こんにちは.mp3,おはよう.mp3,おやすみ.mp3,こんにちは.mp3,ありがとう.mp3,2
27,M01MCIE,おはようございます.jpg,おはようございます.mp3,おやすみ.mp3,すみません.mp3,こんにちは.mp3,またね.mp3,1
28,M01MCIE,おやすみ（なさい）.jpg,おやすみなさい.mp3,おはよう.mp3,ありがとう.mp3,こんにちは.mp3,おかえりなさい.mp3,1
29,M01MCIE,ごちそうさま（でした）.jpg,ごちそうさまでした.mp3,さようなら.mp3,こんにちは.mp3,すみません.mp3,おやすみ.mp3,1
30,M01MCIE,こんにちは.jpg,おはよう.mp3,こんにちは.mp3,こんばんは.mp3,こんにちは.mp3,ありがとう.mp3,2
31,M01MCIE,こんばんは.jpg,こんばんは.mp3,こんにちは.mp3,おはよう.mp3,こんにちは.mp3,またね.mp3,1
32,M01MCIE,さようなら.jpg,こんにちは.mp3,さようなら.mp3,ありがとう.mp3,すみません.mp3,おかえりなさいなさい.mp3,2
33,M01MCIE,すみません.jpg,ありがとう.mp3,すみません.mp3,おやすみ.mp3,おはよう.mp3,またね.mp3,2
34,M01MCIE,ただいま.jpg,ただいま.mp3,さようなら.mp3,こんにちは.mp3,ありがとう.mp3,おやすみ.mp3,1
35,M01MCIE,はじめまして.jpg,はじめまして.mp3,こんばんは.mp3,おはよう.mp3,ありがとう.mp3,すみません.mp3,1
36,M01MCIE,よろしくおねがいします.jpg,よろしくおねがいします.mp3,さようなら.mp3,こんにちは.mp3,ありがとう.mp3,すみません.mp3,1
37,M01MCIE,いただきます.jpg,ありがとう.mp3,いただきます.mp3,おはよう.mp3,さようなら.mp3,すみません.mp3,2
38,M01MCIE,ありがとう.jpg,こんばんは.mp3,ありがとう.mp3,こんにちは.mp3,おやすみ.mp3,またね.mp3,2
39,M01MCIE,ありがとうございます.jpg,ありがとうございます.mp3,おはよう.mp3,こんにちは.mp3,さようなら.mp3,すみません.mp3,1
40,M01MCIE,いいえ.jpg,はい.mp3,いいえ.mp3,こんにちは.mp3,こんにちは.mp3,ありがとう.mp3,2
41,M01MCIE,いってきます.jpg,おやすみ.mp3,いってきます.mp3,おかえりなさいなさい.mp3,おはよう.mp3,またね.mp3,2
42,M01MCIE,いってらっしゃい.jpg,いってらっしゃい.mp3,さようなら.mp3,こんにちは.mp3,ありがとう.mp3,すみません.mp3,1
43,M01MCIE,おかえりなさい（なさい）.jpg,おかえりなさい.mp3,おやすみ.mp3,おはよう.mp3,ありがとう.mp3,こんにちは.mp3,1
44,M01MCIE,おはよう.jpg,おはよう.mp3,こんにちは.mp3,こんにちは.mp3,すみません.mp3,ありがとう.mp3,1
