ID,Unit,Question,Choice1,Choice2,Choice3,Choice4,Choice5,Answer
1,M02MCAE,じゅうよん.mp3,14,24,4,15,16,1
2,M02MCAE,さん.mp3,3,30,13,4,5,1
3,M02MCAE,さんじゅうきゅう.mp3,39,49,29,40,41,1
4,M02MCAE,よんじゅうろく.mp3,46,56,36,47,48,1
5,M02MCAE,さんじゅうさん.mp3,33,43,23,34,35,1
6,M02MCAE,じゅう.mp3,10,20,0,11,12,1
7,M02MCAE,さんじゅうに.mp3,32,42,22,33,34,1
8,M02MCAE,に.mp3,2,20,12,3,4,1
9,M02MCAE,さんじゅうはち.mp3,38,48,28,39,40,1
10,M02MCAE,にじゅうきゅう.mp3,29,39,19,30,31,1
11,M02MCAE,れい.mp3,0,10,5,1,9,1
12,M02MCAE,さんじゅうろく.mp3,36,46,26,37,38,1
13,M02MCAE,きゅう.mp3,9,90,19,10,11,1
14,M02MCAE,さんじゅうよん.mp3,34,44,24,35,36,1
15,M02MCAE,じゅうに.mp3,12,22,2,13,14,1
16,M02MCAE,にじゅうよん.mp3,24,34,14,25,26,1
17,M02MCAE,よん.mp3,4,40,14,5,6,1
18,M02MCAE,よんじゅうご.mp3,45,55,35,46,47,1
19,M02MCAE,よんじゅうなな.mp3,47,57,37,48,49,1
20,M02MCAE,ごじゅう.mp3,50,60,40,51,52,1
21,M02MCAE,にじゅうさん.mp3,23,33,13,24,25,1
22,M02MCAE,じゅうろく.mp3,16,26,6,17,18,1
23,M02MCAE,はち.mp3,8,80,18,9,10,1
24,M02MCAE,じゅういち.mp3,11,21,1,12,13,1
25,M02MCAE,にじゅうに.mp3,22,32,12,23,24,1
26,M02MCAE,よんじゅうよん.mp3,44,54,34,45,46,1
27,M02MCAE,よんじゅうさん.mp3,43,53,33,44,45,1
28,M02MCAE,よんじゅうに.mp3,42,52,32,43,44,1
29,M02MCAE,さんじゅう.mp3,30,40,20,31,32,1
30,M02MCAE,なな.mp3,7,70,17,8,9,1
31,M02MCAE,ご.mp3,5,50,15,6,7,1
32,M02MCAE,じゅうはち.mp3,18,28,8,19,20,1
33,M02MCAE,さんじゅうなな.mp3,37,47,27,38,39,1
34,M02MCAE,じゅうきゅう.mp3,19,29,9,20,21,1
35,M02MCAE,じゅうご.mp3,15,25,5,16,17,1
36,M02MCAE,にじゅういち.mp3,21,31,11,22,23,1
37,M02MCAE,にじゅうろく.mp3,26,36,16,27,28,1
38,M02MCAE,ろく.mp3,6,60,16,7,8,1
39,M02MCAE,にじゅう.mp3,20,30,10,21,22,1
40,M02MCAE,よんじゅういち.mp3,41,51,31,42,43,1
41,M02MCAE,じゅうさん.mp3,13,23,3,14,15,1
42,M02MCAE,よんじゅうきゅう.mp3,49,59,39,50,51,1
43,M02MCAE,さんじゅういち.mp3,31,41,21,32,33,1
44,M02MCAE,にじゅうなな.mp3,27,37,17,28,29,1
45,M02MCAE,いち.mp3,1,2,10,7,3,1
46,M02MCAE,さんじゅうご.mp3,35,45,25,36,37,1
47,M02MCAE,にじゅうはち.mp3,28,38,18,29,30,1
48,M02MCAE,じゅうなな.mp3,17,27,7,18,19,1
49,M02MCAE,よんじゅう.mp3,40,50,30,41,42,1
50,M02MCAE,にじゅうご.mp3,25,35,15,26,27,1
51,M02MCAE,よんじゅうはち.mp3,48,58,38,49,50,1
