ID,Unit,Question,Choice1,Choice2,Choice3,Choice4,Choice5,Answer
1,M02MCAJ,007.mp3,いち,なな,ろく,はち,きゅう,2
2,M02MCAJ,015.mp3,じゅうご,じゅうし,じゅうろく,じゅうなな,じゅうはち,1
3,M02MCAJ,023.mp3,にじゅうさん,さんじゅうに,にじゅうよん,さんじゅうさん,にじゅうに,1
4,M02MCAJ,040.mp3,よんじゅう,しじゅう,ごじゅう,ななじゅう,はちじゅう,1
5,M02MCAJ,099.mp3,きゅうじゅうきゅう,はちじゅうきゅう,きゅうじゅう,きゅうじゅうはち,ななじゅうきゅう,1
6,M02MCAJ,000.mp3,に,ぜろ,まい,ご,さん,2
7,M02MCAJ,008.mp3,はち,しち,ろく,きゅう,ご,1
8,M02MCAJ,012.mp3,じゅうに,じゅうさん,じゅうご,じゅうし,じゅういち,1
9,M02MCAJ,030.mp3,さんじゅう,よんじゅう,ごじゅう,にじゅう,はたち,1
10,M02MCAJ,067.mp3,ろくじゅうなな,ななじゅうろく,ろくじゅうはち,はちじゅうろく,ごじゅうなな,1
11,M02MCAJ,005.mp3,ご,し,さん,よん,ろく,1
12,M02MCAJ,019.mp3,じゅうきゅう,じゅうはち,じゅうしち,じゅうろく,じゅうご,1
13,M02MCAJ,044.mp3,よんじゅうよん,よんじゅうご,ごじゅうよん,さんじゅうよん,よんじゅうさん,1
14,M02MCAJ,050.mp3,ごじゅう,よんじゅう,ろくじゅう,ななじゅう,はちじゅう,1
15,M02MCAJ,088.mp3,はちじゅうはち,きゅうじゅうはち,ななじゅうはち,はちじゅうきゅう,きゅうじゅうきゅう,1
16,M02MCAJ,002.mp3,に,さん,よん,ご,いち,1
17,M02MCAJ,011.mp3,じゅういち,じゅうに,じゅうさん,じゅうよん,じゅうご,1
18,M02MCAJ,036.mp3,さんじゅうろく,ろくじゅうさん,さんじゅうご,ごじゅうさん,さんじゅうしち,1
19,M02MCAJ,077.mp3,ななじゅうなな,しちじゅうしち,はちじゅうはち,きゅうじゅうきゅう,ごじゅうご,1
20,M02MCAJ,093.mp3,きゅうじゅうさん,はちじゅうさん,きゅうじゅうに,ななじゅうさん,さんじゅうきゅう,1
21,M02MCAJ,004.mp3,よん,きゅう,ご,ろく,なな,1
22,M02MCAJ,017.mp3,じゅうしち,じゅうはち,じゅうきゅう,じゅうろく,じゅうご,1
23,M02MCAJ,025.mp3,にじゅうご,ごじゅうに,にじゅうし,さんじゅうご,にじゅうろく,1
24,M02MCAJ,060.mp3,ろくじゅう,ごじゅう,ななじゅう,はちじゅう,きゅうじゅう,1
25,M02MCAJ,081.mp3,はちじゅういち,きゅうじゅういち,ななじゅういち,はちじゅうに,きゅうじゅうに,1
26,M02MCAJ,009.mp3,きゅう,く,じゅう,はち,しち,1
27,M02MCAJ,013.mp3,じゅうさん,じゅうよん,じゅうご,じゅうろく,じゅうしち,1
28,M02MCAJ,028.mp3,にじゅうはち,はちじゅうに,にじゅうきゅう,さんじゅうはち,にじゅうしち,1
29,M02MCAJ,039.mp3,さんじゅうきゅう,きゅうじゅうさん,さんじゅうはち,よんじゅうきゅう,さんじゅうしち,1
30,M02MCAJ,055.mp3,ごじゅうご,ごじゅうし,ごじゅうろく,ごじゅうなな,ごじゅうはち,1
31,M02MCAJ,001.mp3,いち,に,さん,よん,ご,1
32,M02MCAJ,016.mp3,じゅうろく,じゅうしち,じゅうはち,じゅうきゅう,じゅうじゅう,1
33,M02MCAJ,032.mp3,さんじゅうに,にじゅうさん,さんじゅういち,よんじゅうに,さんじゅうさん,1
34,M02MCAJ,047.mp3,よんじゅうしち,しちじゅうよん,よんじゅうはち,はちじゅうよん,よんじゅうきゅう,1
35,M02MCAJ,066.mp3,ろくじゅうろく,ななじゅうろく,はちじゅうろく,ごじゅうろく,きゅうじゅうろく,1
36,M02MCAJ,003.mp3,さん,よん,ご,ろく,しち,1
37,M02MCAJ,014.mp3,じゅうよん,じゅうご,じゅうろく,じゅうしち,じゅうはち,1
38,M02MCAJ,021.mp3,にじゅういち,いちじゅうに,にじゅうに,さんじゅういち,にじゅうさん,1
39,M02MCAJ,037.mp3,さんじゅうしち,しちじゅうさん,さんじゅうはち,はちじゅうさん,さんじゅうきゅう,1
40,M02MCAJ,074.mp3,ななじゅうよん,よんじゅうなな,しちじゅうよん,よんじゅうしち,はちじゅうよん,1
41,M02MCAJ,006.mp3,ろく,しち,はち,きゅう,じゅう,1
42,M02MCAJ,018.mp3,じゅうはち,じゅうきゅう,じゅうしち,じゅうろく,じゅうご,1
43,M02MCAJ,029.mp3,にじゅうきゅう,きゅうじゅうに,にじゅうはち,さんじゅうきゅう,にじゅうしち,1
44,M02MCAJ,053.mp3,ごじゅうさん,さんじゅうご,ごじゅうよん,よんじゅうご,ごじゅうろく,1
45,M02MCAJ,085.mp3,はちじゅうご,ごじゅうはち,はちじゅうし,しじゅうはち,はちじゅうろく,1
46,M02MCAJ,010.mp3,じゅう,じゅういち,にじゅう,さんじゅう,ゼロ,1
47,M02MCAJ,024.mp3,にじゅうよん,よんじゅうに,にじゅうご,ごじゅうに,にじゅうさん,1
48,M02MCAJ,031.mp3,さんじゅういち,いちじゅうさん,さんじゅうに,にじゅういち,よんじゅういち,1
49,M02MCAJ,049.mp3,よんじゅうきゅう,きゅうじゅうよん,よんじゅうはち,はちじゅうよん,よんじゅうしち,1
50,M02MCAJ,072.mp3,ななじゅうに,にじゅうなな,しちじゅうに,はちじゅうに,きゅうじゅうに,1
51,M02MCAJ,098.mp3,きゅうじゅうはち,はちじゅうきゅう,ななじゅうはち,きゅうじゅうきゅう,はちじゅうはち,1
52,M02MCAJ,100,ひゃく,にひゃく,さんびゃく,よんひゃく,きゅうじゅうきゅう,1
