ID,Unit,Question,Choice1,Choice2,Choice3,Choice4,Choice5,Answer
1,M02MCEA,23,023.mp3,032.mp3,013.mp3,020.mp3,033.mp3,1
2,M02MCEA,58,058.mp3,085.mp3,048.mp3,050.mp3,059.mp3,1
3,M02MCEA,72,072.mp3,027.mp3,071.mp3,062.mp3,073.mp3,1
4,M02MCEA,34,034.mp3,043.mp3,024.mp3,035.mp3,044.mp3,1
5,M02MCEA,99,099.mp3,089.mp3,059.mp3,090.mp3,019.mp3,1
6,M02MCEA,0,000.mp3,010.mp3,005.mp3,009.mp3,001.mp3,1
7,M02MCEA,15,015.mp3,005.mp3,025.mp3,014.mp3,016.mp3,1
8,M02MCEA,47,047.mp3,074.mp3,044.mp3,037.mp3,057.mp3,1
9,M02MCEA,81,081.mp3,018.mp3,071.mp3,082.mp3,091.mp3,1
10,M02MCEA,28,028.mp3,082.mp3,018.mp3,029.mp3,038.mp3,1
11,M02MCEA,30,030.mp3,013.mp3,033.mp3,040.mp3,035.mp3,1
12,M02MCEA,64,064.mp3,046.mp3,065.mp3,063.mp3,054.mp3,1
13,M02MCEA,73,073.mp3,037.mp3,072.mp3,074.mp3,063.mp3,1
14,M02MCEA,10,010.mp3,020.mp3,015.mp3,009.mp3,011.mp3,1
15,M02MCEA,50,050.mp3,015.mp3,055.mp3,040.mp3,060.mp3,1
16,M02MCEA,20,020.mp3,012.mp3,022.mp3,030.mp3,025.mp3,1
17,M02MCEA,90,090.mp3,019.mp3,099.mp3,080.mp3,095.mp3,1
18,M02MCEA,45,045.mp3,054.mp3,035.mp3,044.mp3,055.mp3,1
19,M02MCEA,85,085.mp3,058.mp3,075.mp3,084.mp3,095.mp3,1
20,M02MCEA,24,024.mp3,042.mp3,014.mp3,023.mp3,025.mp3,1
21,M02MCEA,19,019.mp3,091.mp3,009.mp3,020.mp3,029.mp3,1
22,M02MCEA,52,052.mp3,025.mp3,053.mp3,051.mp3,062.mp3,1
23,M02MCEA,70,070.mp3,017.mp3,077.mp3,060.mp3,075.mp3,1
24,M02MCEA,39,039.mp3,093.mp3,029.mp3,040.mp3,038.mp3,1
25,M02MCEA,42,042.mp3,024.mp3,043.mp3,041.mp3,032.mp3,1
26,M02MCEA,88,088.mp3,078.mp3,089.mp3,080.mp3,098.mp3,1
27,M02MCEA,18,018.mp3,081.mp3,008.mp3,019.mp3,028.mp3,1
28,M02MCEA,60,060.mp3,016.mp3,066.mp3,070.mp3,065.mp3,1
29,M02MCEA,70,070.mp3,017.mp3,077.mp3,060.mp3,075.mp3,1
30,M02MCEA,95,095.mp3,059.mp3,085.mp3,090.mp3,099.mp3,1
31,M02MCEA,37,037.mp3,073.mp3,036.mp3,038.mp3,047.mp3,1
32,M02MCEA,41,041.mp3,014.mp3,042.mp3,031.mp3,040.mp3,1
33,M02MCEA,29,029.mp3,092.mp3,019.mp3,030.mp3,039.mp3,1
34,M02MCEA,54,054.mp3,045.mp3,053.mp3,055.mp3,064.mp3,1
35,M02MCEA,79,079.mp3,097.mp3,069.mp3,080.mp3,078.mp3,1
36,M02MCEA,12,012.mp3,021.mp3,010.mp3,013.mp3,011.mp3,1
37,M02MCEA,82,082.mp3,028.mp3,081.mp3,083.mp3,092.mp3,1
38,M02MCEA,14,014.mp3,041.mp3,010.mp3,015.mp3,016.mp3,1
39,M02MCEA,46,046.mp3,064.mp3,045.mp3,047.mp3,036.mp3,1
40,M02MCEA,36,036.mp3,063.mp3,035.mp3,037.mp3,046.mp3,1
41,M02MCEA,16,016.mp3,061.mp3,010.mp3,017.mp3,018.mp3,1
42,M02MCEA,57,057.mp3,075.mp3,055.mp3,056.mp3,067.mp3,1
43,M02MCEA,24,024.mp3,042.mp3,014.mp3,023.mp3,025.mp3,1
44,M02MCEA,92,092.mp3,029.mp3,091.mp3,093.mp3,082.mp3,1
45,M02MCEA,89,089.mp3,098.mp3,079.mp3,090.mp3,088.mp3,1
46,M02MCEA,17,017.mp3,071.mp3,010.mp3,018.mp3,019.mp3,1
47,M02MCEA,48,048.mp3,084.mp3,047.mp3,049.mp3,058.mp3,1
48,M02MCEA,63,063.mp3,036.mp3,064.mp3,062.mp3,053.mp3,1
49,M02MCEA,75,075.mp3,057.mp3,074.mp3,076.mp3,085.mp3,1
50,M02MCEA,55,055.mp3,050.mp3,045.mp3,056.mp3,065.mp3,1
51,M02MCEA,25,025.mp3,052.mp3,015.mp3,024.mp3,026.mp3,1
52,M02MCEA,13,013.mp3,031.mp3,010.mp3,014.mp3,015.mp3,1
