ID,Unit,Question,Choice1,Choice2,Choice3,Choice4,Choice5,Answer
1,M02MCIA,03-1234-5678.jpg,03-1234-5678.mp3,070-0030-7482.mp3,070-3620-9655.mp3,080-0184-1576.mp3,080-4953-7520.mp3,1
2,M02MCIA,06-1234-5678.jpg,06-1234-5678.mp3,070-0316-0661.mp3,070-4268-6664.mp3,080-0754-4245.mp3,080-5038-6667.mp3,1
3,M02MCIA,070-0856-5944.jpg,070-0856-5944.mp3,070-0996-3804.mp3,070-4513-1718.mp3,080-2465-4583.mp3,080-5266-0921.mp3,1
4,M02MCIA,070-5193-6841.jpg,070-5193-6841.mp3,070-1619-2138.mp3,070-5477-4754.mp3,080-2508-8646.mp3,080-5388-9007.mp3,1
5,M02MCIA,070-8982-4613.jpg,070-8982-4613.mp3,070-2669-6874.mp3,070-6551-6309.mp3,080-2927-3007.mp3,080-5527-6494.mp3,1
6,M02MCIA,080-9586-0084.jpg,080-9586-0084.mp3,070-2795-6508.mp3,070-6708-0272.mp3,080-3575-9343.mp3,080-5763-2052.mp3,1
7,M02MCIA,090-0222-5504.jpg,090-0222-5504.mp3,070-3033-3783.mp3,070-6722-1348.mp3,080-3696-4872.mp3,080-6859-8863.mp3,1
8,M02MCIA,090-0909-3719.jpg,090-0909-3719.mp3,070-3048-4500.mp3,070-7527-7138.mp3,080-3746-8237.mp3,080-7024-9991.mp3,1
9,M02MCIA,090-2114-9904.jpg,090-2114-9904.mp3,070-3367-5016.mp3,070-8507-5618.mp3,080-4432-2497.mp3,080-7332-0788.mp3,1
10,M02MCIA,090-4768-3585.jpg,090-4768-3585.mp3,070-3550-2552.mp3,070-8891-6484.mp3,080-4522-6963.mp3,080-8324-7234.mp3,1
