ID,Unit,Question,Choice1,Choice2,Choice3,Choice4,Choice5,Answer
1,M03MCJA1,あい (love),あい.mp3,いえ.mp3,うえ.mp3,かお.mp3,きく.mp3,1
2,M03MCJA1,いえ (house),いえ.mp3,あい.mp3,うえ.mp3,かき.mp3,けこ.mp3,1
3,M03MCJA1,うえ (above),うえ.mp3,あい.mp3,いえ.mp3,かお.mp3,きく.mp3,1
4,M03MCJA1,えき (station),えき.mp3,おい.mp3,かお.mp3,き.mp3,け.mp3,1
5,M03MCJA1,おい (nephew),おい.mp3,えき.mp3,かお.mp3,きく.mp3,け.mp3,1
6,M03MCJA1,かお (face),かお.mp3,あい.mp3,いえ.mp3,うえ.mp3,き.mp3,1
7,M03MCJA1,き (tree),き.mp3,け.mp3,こい.mp3,かき.mp3,くき.mp3,1
8,M03MCJA1,け (hair),け.mp3,き.mp3,こい.mp3,かお.mp3,えき.mp3,1
9,M03MCJA1,こい (carp),こい.mp3,かき.mp3,きく.mp3,け.mp3,あい.mp3,1
10,M03MCJA1,かき (persimmon),かき.mp3,きく.mp3,くき.mp3,けこ.mp3,こい.mp3,1
11,M03MCJA1,きく (hear),きく.mp3,かき.mp3,くき.mp3,けこ.mp3,こけ.mp3,1
12,M03MCJA1,あか (red),あか.mp3,いか.mp3,うき.mp3,おか.mp3,かう.mp3,1
13,M03MCJA1,いか (squid),いか.mp3,あか.mp3,うき.mp3,おか.mp3,かう.mp3,1
14,M03MCJA1,うき (float),うき.mp3,あか.mp3,いか.mp3,おか.mp3,かう.mp3,1
15,M03MCJA1,おか (hill),おか.mp3,あか.mp3,いか.mp3,うき.mp3,かう.mp3,1
16,M03MCJA1,かう (buy),かう.mp3,あか.mp3,いか.mp3,うき.mp3,おか.mp3,1
17,M03MCJA1,きか (listening),きか.mp3,かき.mp3,きく.mp3,くき.mp3,けこ.mp3,1
18,M03MCJA1,くき (stem),くき.mp3,きく.mp3,かき.mp3,けこ.mp3,こけ.mp3,1
19,M03MCJA1,けこ (non-word),けこ.mp3,くき.mp3,きか.mp3,かう.mp3,おか.mp3,1
20,M03MCJA1,こけ (moss),こけ.mp3,けこ.mp3,くき.mp3,きか.mp3,かう.mp3,1
21,M03MCJA1,あい (love),あい.mp3,いか.mp3,うき.mp3,おか.mp3,かう.mp3,1
22,M03MCJA1,いえ (house),いえ.mp3,うき.mp3,おか.mp3,かう.mp3,きか.mp3,1
23,M03MCJA1,うえ (above),うえ.mp3,おか.mp3,かう.mp3,きか.mp3,くき.mp3,1
24,M03MCJA1,えき (station),えき.mp3,かう.mp3,きか.mp3,くき.mp3,けこ.mp3,1
25,M03MCJA1,おい (nephew),おい.mp3,きか.mp3,くき.mp3,けこ.mp3,こけ.mp3,1
26,M03MCJA1,かお (face),かお.mp3,くき.mp3,けこ.mp3,こけ.mp3,あか.mp3,1
27,M03MCJA1,き (tree),き.mp3,けこ.mp3,こけ.mp3,あか.mp3,いか.mp3,1
28,M03MCJA1,け (hair),け.mp3,こけ.mp3,あか.mp3,いか.mp3,うき.mp3,1
29,M03MCJA1,こい (carp),こい.mp3,あか.mp3,いか.mp3,うき.mp3,おか.mp3,1
30,M03MCJA1,かき (persimmon),かき.mp3,いか.mp3,うき.mp3,おか.mp3,かう.mp3,1
31,M03MCJA1,きく (hear),きく.mp3,うき.mp3,おか.mp3,かう.mp3,きか.mp3,1
32,M03MCJA1,あか (red),あか.mp3,おか.mp3,かう.mp3,きか.mp3,くき.mp3,1
33,M03MCJA1,いか (squid),いか.mp3,かう.mp3,きか.mp3,くき.mp3,けこ.mp3,1
34,M03MCJA1,うき (float),うき.mp3,きか.mp3,くき.mp3,けこ.mp3,こけ.mp3,1
35,M03MCJA1,おか (hill),おか.mp3,くき.mp3,けこ.mp3,こけ.mp3,あか.mp3,1
36,M03MCJA1,かう (buy),かう.mp3,けこ.mp3,こけ.mp3,あか.mp3,いか.mp3,1
37,M03MCJA1,きか (listening),きか.mp3,こけ.mp3,あか.mp3,いか.mp3,うき.mp3,1
38,M03MCJA1,くき (stem),くき.mp3,あか.mp3,いか.mp3,うき.mp3,おか.mp3,1
39,M03MCJA1,けこ (non-word),けこ.mp3,いか.mp3,うき.mp3,おか.mp3,かう.mp3,1
40,M03MCJA1,こけ (moss),こけ.mp3,うき.mp3,おか.mp3,かう.mp3,きか.mp3,1
41,M03MCJA1,あい (love),あい.mp3,おか.mp3,かう.mp3,きか.mp3,くき.mp3,1
42,M03MCJA1,いえ (house),いえ.mp3,かう.mp3,きか.mp3,くき.mp3,けこ.mp3,1
43,M03MCJA1,うえ (above),うえ.mp3,きか.mp3,くき.mp3,けこ.mp3,こけ.mp3,1
44,M03MCJA1,えき (station),えき.mp3,くき.mp3,けこ.mp3,こけ.mp3,あか.mp3,1
45,M03MCJA1,おい (nephew),おい.mp3,けこ.mp3,こけ.mp3,あか.mp3,いか.mp3,1
46,M03MCJA1,かお (face),かお.mp3,こけ.mp3,あか.mp3,いか.mp3,うき.mp3,1
47,M03MCJA1,き (tree),き.mp3,あか.mp3,いか.mp3,うき.mp3,おか.mp3,1
48,M03MCJA1,け (hair),け.mp3,いか.mp3,うき.mp3,おか.mp3,かう.mp3,1
49,M03MCJA1,こい (carp),こい.mp3,うき.mp3,おか.mp3,かう.mp3,きか.mp3,1
50,M03MCJA1,かき (persimmon),かき.mp3,おか.mp3,かう.mp3,きか.mp3,くき.mp3,1
51,M03MCJA1,きく (hear),きく.mp3,かう.mp3,きか.mp3,くき.mp3,けこ.mp3,1
