ID,Unit,Question,Choice1,Choice2,Choice3,Choice4,Choice5,Answer
1,M03MCJA5,あう (to meet),あう.mp3,あお.mp3,いう.mp3,えき.mp3,おおきい.mp3,1
2,M03MCJA5,あお (blue),あお.mp3,あか.mp3,あい.mp3,いす.mp3,うえ.mp3,1
3,M03MCJA5,いえ (house),いえ.mp3,いす.mp3,うえ.mp3,えき.mp3,おおきい.mp3,1
4,M03MCJA5,いす (chair),いす.mp3,いえ.mp3,うし.mp3,すし.mp3,せんせい.mp3,1
5,M03MCJA5,うえ (up),うえ.mp3,えき.mp3,おおきい.mp3,かお.mp3,きく.mp3,1
6,M03MCJA5,えき (station),えき.mp3,おおきい.mp3,かお.mp3,きく.mp3,くるま.mp3,1
7,M03MCJA5,おおきい (big),おおきい.mp3,かお.mp3,きく.mp3,くるま.mp3,さくら.mp3,1
8,M03MCJA5,かお (face),かお.mp3,きく.mp3,くるま.mp3,さくら.mp3,すし.mp3,1
9,M03MCJA5,きく (to listen),きく.mp3,くるま.mp3,さくら.mp3,すし.mp3,せんせい.mp3,1
10,M03MCJA5,くるま (car),くるま.mp3,さくら.mp3,すし.mp3,せんせい.mp3,ちいさい.mp3,1
11,M03MCJA5,さくら (cherry blossom),さくら.mp3,すし.mp3,せんせい.mp3,ちいさい.mp3,つくえ.mp3,1
12,M03MCJA5,すし (sushi),すし.mp3,せんせい.mp3,ちいさい.mp3,つくえ.mp3,て.mp3,1
13,M03MCJA5,せんせい (teacher),せんせい.mp3,ちいさい.mp3,つくえ.mp3,て.mp3,とし.mp3,1
14,M03MCJA5,ちいさい (small),ちいさい.mp3,つくえ.mp3,て.mp3,とし.mp3,なまえ.mp3,1
15,M03MCJA5,つくえ (desk),つくえ.mp3,て.mp3,とし.mp3,なまえ.mp3,にほん.mp3,1
16,M03MCJA5,て (hand),て.mp3,とし.mp3,なまえ.mp3,にほん.mp3,ぬの.mp3,1
17,M03MCJA5,とし (city),とし.mp3,なまえ.mp3,にほん.mp3,ぬの.mp3,ねこ.mp3,1
18,M03MCJA5,なまえ (name),なまえ.mp3,にほん.mp3,ぬの.mp3,ねこ.mp3,のむ.mp3,1
19,M03MCJA5,にほん (Japan),にほん.mp3,ぬの.mp3,ねこ.mp3,のむ.mp3,はな.mp3,1
20,M03MCJA5,ぬの (cloth),ぬの.mp3,ねこ.mp3,のむ.mp3,はな.mp3,ひる.mp3,1
21,M03MCJA5,ねこ (cat),ねこ.mp3,のむ.mp3,はな.mp3,ひる.mp3,ふね.mp3,1
22,M03MCJA5,のむ (to drink),のむ.mp3,はな.mp3,ひる.mp3,ふね.mp3,へや.mp3,1
23,M03MCJA5,はな (flower),はな.mp3,ひる.mp3,ふね.mp3,へや.mp3,ほん.mp3,1
24,M03MCJA5,ひる (noon),ひる.mp3,ふね.mp3,へや.mp3,ほん.mp3,まど.mp3,1
25,M03MCJA5,ふね (ship),ふね.mp3,へや.mp3,ほん.mp3,まど.mp3,みみ.mp3,1
26,M03MCJA5,へや (room),へや.mp3,ほん.mp3,まど.mp3,みみ.mp3,むし.mp3,1
27,M03MCJA5,ほん (book),ほん.mp3,まど.mp3,みみ.mp3,むし.mp3,め.mp3,1
28,M03MCJA5,まど (window),まど.mp3,みみ.mp3,むし.mp3,め.mp3,もつ.mp3,1
29,M03MCJA5,みみ (ear),みみ.mp3,むし.mp3,め.mp3,もつ.mp3,やま.mp3,1
30,M03MCJA5,むし (insect),むし.mp3,め.mp3,もつ.mp3,やま.mp3,ゆ.mp3,1
31,M03MCJA5,め (eye),め.mp3,もつ.mp3,やま.mp3,ゆ.mp3,よむ.mp3,1
32,M03MCJA5,もつ (to hold),もつ.mp3,やま.mp3,ゆ.mp3,よむ.mp3,りんご.mp3,1
33,M03MCJA5,やま (mountain),やま.mp3,ゆ.mp3,よむ.mp3,りんご.mp3,るす.mp3,1
34,M03MCJA5,ゆ (hot water),ゆ.mp3,よむ.mp3,りんご.mp3,るす.mp3,れい.mp3,1
35,M03MCJA5,よむ (to read),よむ.mp3,りんご.mp3,るす.mp3,れい.mp3,わかる.mp3,1
36,M03MCJA5,りんご (apple),りんご.mp3,るす.mp3,れい.mp3,わかる.mp3,あう.mp3,1
37,M03MCJA5,るす (absence),るす.mp3,れい.mp3,わかる.mp3,あう.mp3,あお.mp3,1
38,M03MCJA5,れい (example),れい.mp3,わかる.mp3,あう.mp3,あお.mp3,いえ.mp3,1
39,M03MCJA5,わかる (to understand),わかる.mp3,あう.mp3,あお.mp3,いえ.mp3,いす.mp3,1
40,M03MCJA5,あか (red),あか.mp3,あお.mp3,いえ.mp3,いす.mp3,うえ.mp3,1
41,M03MCJA5,あき (autumn),あき.mp3,いえ.mp3,いす.mp3,うえ.mp3,えき.mp3,1
