ID,Unit,Question,Choice1,Choice2,Choice3,Choice4,Choice5,Answer
1,M03MCJA7,とけい (clock),とけい.mp3,とき.mp3,とこい.mp3,とっけい.mp3,とけえ.mp3,1
2,M03MCJA7,おねえさん (older sister),おねえさん.mp3,おねいさん.mp3,おねさん.mp3,おねえいさん.mp3,おねえ.mp3,1
3,M03MCJA7,えいご (English language),えいご.mp3,えご.mp3,えいが.mp3,ええご.mp3,えんご.mp3,1
4,M03MCJA7,おかあさん (mother),おかあさん.mp3,おかさん.mp3,おっかさん.mp3,おかあ.mp3,おかーさん.mp3,1
5,M03MCJA7,おばあさん (grandmother),おばあさん.mp3,おばさん.mp3,おばあ.mp3,ばあさん.mp3,おばーさん.mp3,1
6,M03MCJA7,だいがく (university),だいがく.mp3,だいがっく.mp3,だいかく.mp3,だいがくう.mp3,だいが.mp3,1
7,M03MCJA7,こうこう (high school),こうこう.mp3,こっこう.mp3,こうこ.mp3,こうごう.mp3,こおこう.mp3,1
8,M03MCJA7,がくせい (student),がくせい.mp3,がくせ.mp3,がっせい.mp3,がくせえ.mp3,がくせい.mp3,1
9,M03MCJA7,せんせい (teacher),せんせい.mp3,せんせ.mp3,せんせえ.mp3,せんせい.mp3,せんせー.mp3,1
10,M03MCJA7,びょういん (hospital),びょういん.mp3,びょいん.mp3,びょうい.mp3,びょうにん.mp3,びょおいん.mp3,1
11,M03MCJA7,けーき (cake),けーき.mp3,けき.mp3,けえき.mp3,けっき.mp3,けいき.mp3,1
12,M03MCJA7,えいが (movie),えいが.mp3,えが.mp3,えいぎ.mp3,ええが.mp3,えんが.mp3,1
13,M03MCJA7,おんがく (music),おんがく.mp3,おんがっく.mp3,おがく.mp3,おんが.mp3,おんがーく.mp3,1
14,M03MCJA7,はは (mother (my)),はは.mp3,はあは.mp3,ははあ.mp3,はーは.mp3,ははー.mp3,1
15,M03MCJA7,ちち (father (my)),ちち.mp3,ちいち.mp3,ちちい.mp3,ちーち.mp3,ちちー.mp3,1
16,M03MCJA7,あに (older brother),あに.mp3,ああに.mp3,あにい.mp3,あにー.mp3,あんい.mp3,1
17,M03MCJA7,いもうと (younger sister),いもうと.mp3,いもと.mp3,いもうとう.mp3,いもおと.mp3,いもーと.mp3,1
18,M03MCJA7,ほん (book),ほん.mp3,ほおん.mp3,ほんん.mp3,ほーん.mp3,ほんう.mp3,1
19,M03MCJA7,ぺん (pen),ぺん.mp3,ぺえん.mp3,ぺんん.mp3,ぺーん.mp3,ぺんう.mp3,1
