ID,Unit,Question,Choice1,Choice2,Choice3,Choice4,Choice5,Answer
1,M03MCAJ1,がくせい.mp3,がくせい,りゅうがくせい,かいしゃいん,しゅふ,がくせい,1
2,M03MCAJ1,せんせい.mp3,せんせい,いしゃ,りょうしん,ともだち,りゅうがくせい,1
3,M03MCAJ1,りゅうがくせい.mp3,りゅうがくせい,がくせい,だいがく,ちち,にほん,1
4,M03MCAJ1,アメリカ.mp3,アメリカ,かんこく,ちゅうごく,イギリス,カナダ,1
5,M03MCAJ1,にほん.mp3,にほん,アメリカ,かんこく,イギリス,メキシコ,1
6,M03MCAJ1,さんじゅう.mp3,にじゅう,さんじゅう,よんじゅう,ごじゅう,ろくじゅう,2
7,M03MCAJ1,よんじゅう.mp3,さんじゅう,よんじゅう,ごじゅう,ろくじゅう,ななじゅう,2
8,M03MCAJ1,ちち.mp3,ちち,はは,あに,あね,きょうだい,1
9,M03MCAJ1,はは.mp3,ちち,はは,おとうと,おねえさん,りょうしん,2
10,M03MCAJ1,りょうしん.mp3,りょうしん,ちち,はは,きょうだい,だいがく,1
11,M03MCAJ1,だいがく.mp3,だいがく,がっこう,かいしゃ,びょういん,かいしゃいん,1
12,M03MCAJ1,かいしゃいん.mp3,かいしゃいん,がくせい,せんせい,いしゃ,しゅふ,1
13,M03MCAJ1,しゅふ.mp3,しゅふ,かいしゃいん,がくせい,いしゃ,べんごし,1
14,M03MCAJ1,ごじゅう.mp3,よんじゅう,ごじゅう,ろくじゅう,ななじゅう,じゅう,2
15,M03MCAJ1,はたち.mp3,じゅう,はたち,さんじゅう,よんじゅう,ごじゅう,2
16,M03MCAJ1,おとうさん.mp3,おとうさん,おかあさん,おにいさん,おねえさん,きょうだい,1
17,M03MCAJ1,おかあさん.mp3,おかあさん,おとうさん,おねえさん,おにいさん,きょうだい,1
18,M03MCAJ1,おにいさん.mp3,おにいさん,おねえさん,いもうと,おとうと,きょうだい,1
19,M03MCAJ1,おねえさん.mp3,おねえさん,おにいさん,いもうと,おとうと,きょうだい,1
20,M03MCAJ1,いもうと.mp3,いもうと,おとうと,おにいさん,おねえさん,きょうだい,1
21,M03MCAJ1,よん.mp3,さん,よん,ご,ろく,なな,2
22,M03MCAJ1,しち.mp3,ご,ろく,しち,はち,きゅう,3
23,M03MCAJ1,きゅう.mp3,しち,はち,きゅう,じゅう,いち,3
24,M03MCAJ1,じゅう.mp3,じゅう,にじゅう,さんじゅう,よんじゅう,ご,1
25,M03MCAJ1,にじゅう.mp3,にじゅう,さんじゅう,よんじゅう,ごじゅう,はちじゅう,1
26,M03MCAJ1,ともだち.mp3,ともだち,りょうしん,きょうだい,せんせい,きょうだい,1
27,M03MCAJ1,きょうだい.mp3,きょうだい,りょうしん,ともだち,おとうと,ひと,1
28,M03MCAJ1,ひと.mp3,ひと,もの,ところ,とき,なまえ,1
29,M03MCAJ1,なまえ.mp3,なまえ,かね,とし,せいねんがっぴ,なんさい,1
30,M03MCAJ1,なんさい.mp3,なんさい,いつ,どこ,だれ,よん,1
31,M03MCAJ1,ご.mp3,よん,ご,ろく,しち,なな,2
32,M03MCAJ1,ろく.mp3,ご,ろく,しち,はち,じゅう,2
33,M03MCAJ1,はち.mp3,しち,はち,きゅう,じゅう,ご,2
34,M03MCAJ1,く.mp3,きゅう,く,じゅう,じゅういち,に,2
35,M03MCAJ1,じゅういち.mp3,じゅう,じゅういち,じゅうに,じゅうさん,じゅうご,2
36,M03MCAJ1,おとうと.mp3,おとうと,いもうと,おにいさん,おねえさん,きょうだい,1
37,M03MCAJ1,おじいさん.mp3,おじいさん,おばあさん,おとうさん,おかあさん,きょうだい,1
38,M03MCAJ1,おばあさん.mp3,おばあさん,おじいさん,おかあさん,おとうさん,きょうだい,1
39,M03MCAJ1,いしゃ.mp3,いしゃ,がくせい,せんせい,かいしゃいん,りょうしん,1
40,M03MCAJ1,りょうしん.mp3,りょうしん,ちち,はは,きょうだい,にほん,1
41,M03MCAJ1,かんこく.mp3,にほん,アメリカ,かんこく,ちゅうごく,アメリカ,3
42,M03MCAJ1,ちゅうごく.mp3,にほん,かんこく,ちゅうごく,イギリス,アメリカ,3
43,M03MCAJ1,イギリス.mp3,アメリカ,かんこく,ちゅうごく,イギリス,がっこう,4
44,M03MCAJ1,がっこう.mp3,がっこう,だいがく,かいしゃ,びょういん,だいがく,1
45,M03MCAJ1,だいがく.mp3,だいがく,がっこう,かいしゃ,びょういん,がくせい,1
46,M03MCAJ1,なな.mp3,しち,なな,はち,きゅう,じゅう,2
47,M03MCAJ1,きゅう.mp3,しち,はち,きゅう,じゅう,に,3
48,M03MCAJ1,よん.mp3,よん,ご,ろく,しち,いち,1
49,M03MCAJ1,さん.mp3,いち,に,さん,よん,ご,3
50,M03MCAJ1,に.mp3,いち,に,さん,よん,ご,2
