ID,Unit,Question,Choice1,Choice2,Choice3,Choice4,Choice5,Answer
1,M03MCIJ,しゃしん_resized.jpg,しゃしん,くるま,いす,ほん,でんわ,1
2,M03MCIJ,せんせい_resized.jpg,せんせい,びょういん,えんぴつ,としょかん,れすとらん,1
3,M03MCIJ,りんご_resized.jpg,りんご,でんしゃ,おてあらい,じかん,きっぷ,1
4,M03MCIJ,がっこう_resized.jpg,がっこう,びじゅつかん,すーぱー,こうえん,ぷーる,1
5,M03MCIJ,めがね_resized.jpg,めがね,かばん,しんぶん,ざっし,てれび,1
6,M03MCIJ,ほてる_resized.jpg,ほてる,でぱーと,ゆうびんきょく,ぎんこう,れすとらん,1
7,M03MCIJ,ばすてい_resized.jpg,ばすてい,ひこうき,たくしー,じてんしゃ,ふね,1
8,M03MCIJ,れいぞうこ_resized.jpg,れいぞうこ,つくえ,いす,たな,まど,1
9,M03MCIJ,おふろ_resized.jpg,おふろ,といれ,きっちん,りびんぐ,べらんだ,1
10,M03MCIJ,ほん_resized.jpg,ほん,のーと,てがみ,かたろぐ,かれんだー,1
11,M03MCIJ,はがき_resized.jpg,はがき,ふうとう,かみ,ふでばこ,のり,1
12,M03MCIJ,おーとばい_resized.jpg,おーとばい,とらっく,ばす,たくしー,ひこうき,1
13,M03MCIJ,いす_resized.jpg,いす,たな,とけい,でんわ,まど,1
14,M03MCIJ,くつ_resized.jpg,くつ,ぼうし,ようふく,めがね,てぶくろ,1
15,M03MCIJ,ばす_resized.jpg,ばす,ひこうき,たくしー,ふね,ちかてつ,1
16,M03MCIJ,ざっし_resized.jpg,ざっし,しんぶん,のーと,てがみ,かれんだー,1
17,M03MCIJ,くつ_resized.jpg,くつ,ぼうし,てぶくろ,まふらー,さんぐらす,1
18,M03MCIJ,めがね_resized.jpg,めがね,かめら,らじお,てれび,ぱそこん,1
19,M03MCIJ,ぺん_resized.jpg,ぺん,はさみ,のり,けしごむ,ものさし,1
20,M03MCIJ,かれんだー_resized.jpg,かれんだー,ちず,しゃしん,ぽすたー,ちらし,1
21,M03MCIJ,かばん_resized.jpg,かばん,つくえ,たな,いす,まど,1
22,M03MCIJ,さんだる_resized.jpg,さんだる,ぶーつ,すりっぱ,うわぎ,ずぼん,1
23,M03MCIJ,はがき_resized.jpg,はがき,きって,ふうとう,かーど,めーる,1
24,M03MCIJ,にちようび_resized.jpg,にちようび,がつ,つき,ねん,しゅうまつ,1
25,M03MCIJ,ぱすぽーと_resized.jpg,ぱすぽーと,かーど,おかね,さいふ,くれじっとかーど,1
26,M03MCIJ,ぺーぱー_resized.jpg,ぺーぱー,ぷらすちっく,がらす,どうぐ,いれもの,1
27,M03MCIJ,き_resized.jpg,き,くさ,やま,かわ,うみ,1
28,M03MCIJ,こんたくとれんず_resized.jpg,こんたくとれんず,さんぐらす,ますく,いやりんぐ,ねっくれす,1
29,M03MCIJ,え_resized.jpg,え,ぽすたー,ちず,まっぷ,でざいん,1
30,M03MCIJ,つくえ_resized.jpg,つくえ,いす,まど,と,どあ,1
31,M03MCIJ,しゃしん_resized.jpg,しゃしん,いらすと,まんが,でざいん,ぐらふ,1
32,M03MCIJ,かばん_resized.jpg,かばん,くつ,ぼうし,めがね,てぶくろ,1
33,M03MCIJ,えんぴつ_resized.jpg,えんぴつ,ぺん,ものさし,はさみ,のり,1
34,M03MCIJ,まっぷ_resized.jpg,まっぷ,がいどぶっく,かたろぐ,めにゅー,すけじゅーる,1
35,M03MCIJ,びでお_resized.jpg,びでお,すまーとふぉん,たぶれっと,ぱそこん,てれび,1
36,M03MCIJ,いと_resized.jpg,いと,ぼたん,ふぁすなー,べると,りぼん,1
37,M03MCIJ,てーぷ_resized.jpg,てーぷ,ほっちきす,くりっぷ,せろはんてーぷ,ますきんぐてーぷ,1
38,M03MCIJ,ないふ_resized.jpg,ないふ,ふぉーく,すぷーん,おわん,さら,1
39,M03MCIJ,こんぱす_resized.jpg,こんぱす,ぐらす,こっぷ,てぃっしゅ,なぷきん,1
40,M03MCIJ,はがき_resized.jpg,はがき,きって,てがみ,かーど,めーる,1
41,M03MCIJ,まーかー_resized.jpg,まーかー,ちょーく,くれよん,ぱすてる,えのぐ,1
42,M03MCIJ,ろっく_resized.jpg,ろっく,ちぇーん,ぱすわーど,こーど,きーほるだー,1
43,M03MCIJ,うみ_resized.jpg,うみ,いけ,みずうみ,ぷーる,おふろ,1
44,M03MCIJ,もり_resized.jpg,もり,はたけ,こうえん,にわ,どあ,1
45,M03MCIJ,かわ_resized.jpg,かわ,うみ,みずうみ,ぷーる,おふろ,1
46,M03MCIJ,やま_resized.jpg,やま,はたけ,こうえん,にわ,どあ,1
47,M03MCIJ,こうえん_resized.jpg,こうえん,にわ,どあ,まど,いけ,1
48,M03MCIJ,かわ_resized.jpg,かわ,うみ,いけ,ぷーる,おふろ,1
49,M03MCIJ,へや_resized.jpg,へや,りびんぐ,きっちん,といれ,ばるこにー,1
50,M03MCIJ,どあ_resized.jpg,どあ,かーてん,ぶらいんど,しゃったー,がらす,1
