ID,Unit,Question,Choice1,Choice2,Choice3,Choice4,Choice5,Answer
1,M05MCAE,さんじゅう.mp3,3,13,30,300,33,3
2,M05MCAE,ひゃくごじゅうに.mp3,1052,152,1502,5102,1520,2
3,M05MCAE,にせんさんびゃく.mp3,2300,2030,230,3200,203,1
4,M05MCAE,よんまん.mp3,40000,4000,400,40,4,1
5,M05MCAE,ろくおく.mp3,6000000,600000000,60000,600000,600000000000,2
6,M05MCAE,きゅうせん.mp3,900,9000,90,90000,9,2
7,M05MCAE,はちじゅうなな.mp3,87,807,78,708,877,1
8,M05MCAE,にじゅうよんまん.mp3,240000,24000,2040000,2400,2400000,1
9,M05MCAE,さんぜん.mp3,3000,300,30,30000,3,1
10,M05MCAE,ごひゃくきゅうじゅう.mp3,590,509,950,905,599,1
11,M05MCAE,いちおく.mp3,100000000,1000000,10000,100000,1000,1
12,M05MCAE,ななじゅうはち.mp3,78,87,708,807,780,1
13,M05MCAE,よんじゅうさんまん.mp3,430000,43000,4030000,4300,430,1
14,M05MCAE,きゅうひゃくきゅうじゅうきゅう.mp3,999,990,909,9009,99,1
15,M05MCAE,にせんにじゅう.mp3,2020,2200,2002,202,220,1
16,M05MCAE,はっせん.mp3,8000,800,80,8,80000,1
17,M05MCAE,じゅうさん.mp3,13,30,103,130,113,1
18,M05MCAE,ごせんごひゃく.mp3,5500,5050,5005,5550,550,1
19,M05MCAE,ろくじゅうよん.mp3,64,46,604,406,640,1
20,M05MCAE,さんびゃくにじゅう.mp3,320,302,230,3200,32,1
21,M05MCAE,よんじゅうまん.mp3,400000,40000,4000,40,400,1
22,M05MCAE,はちじゅうおく.mp3,8000000000,800000000,80000000,8000000,800000,1
23,M05MCAE,にひゃくご.mp3,205,250,2005,25,225,1
24,M05MCAE,ななせん.mp3,7000,700,70,7,70000,1
25,M05MCAE,きゅうじゅうきゅう.mp3,99,909,9009,999,990,4
26,M05MCAE,いちまんにせん.mp3,12000,10200,1200,100200,120000,1
27,M05MCAE,ごじゅうさん.mp3,53,35,503,530,305,1
28,M05MCAE,ひゃくまん.mp3,1000000,100000,10000,10000000,100000000,1
29,M05MCAE,にじゅうよん.mp3,24,204,240,2004,42,1
30,M05MCAE,さんぜんごひゃく.mp3,3500,3050,3005,3550,5300,1
31,M05MCAE,ろっぴゃく.mp3,600,60,6000,6,606,1
32,M05MCAE,よんじゅうはち.mp3,48,408,480,84,804,1
33,M05MCAE,きゅうひゃくまん.mp3,9000000,900000,90000,9000,90000000,1
34,M05MCAE,じゅうご.mp3,15,50,105,150,115,1
35,M05MCAE,にせんろっぴゃく.mp3,2600,2060,2006,260,2660,1
36,M05MCAE,はちじゅういち.mp3,81,18,801,810,108,1
37,M05MCAE,ごひゃくまん.mp3,5000000,500000,50000,5000,50000000,1
38,M05MCAE,ななじゅう.mp3,70,17,700,7,7000,1
39,M05MCAE,よんひゃく.mp3,400,40,4000,4,404,1
40,M05MCAE,にじゅうよんおく.mp3,2400000000,240000000,24000000,2400000,24000000000,1
41,M05MCAE,さんびゃくまん.mp3,3000000,300000,30000,3000,30000000,1
42,M05MCAE,ごせん.mp3,5000,500,50,5,50000,1
43,M05MCAE,はっぴゃく.mp3,800,80,8,8000,808,1
44,M05MCAE,きゅうじゅう.mp3,90,19,900,9,9000,1
45,M05MCAE,ろくまん.mp3,60000,6000,600,60,6,1
46,M05MCAE,ひゃくにじゅう.mp3,120,102,210,1002,1200,1
47,M05MCAE,よんじゅうななおく.mp3,4700000000,470000000,47000000,4700000,47000000000,1
48,M05MCAE,にせんじゅう.mp3,2010,2100,2001,201,210,1
49,M05MCAE,はちじゅうまん.mp3,800000,80000,8000,80,800,1
50,M05MCAE,ごひゃくじゅう,510,501,150,105,5100,1
