ID,Unit,Question,Choice1,Choice2,Choice3,Choice4,Choice5,Answer
1,M05MCIA01,M05MCIA01_resized.jpg,はさみは、ごひゃくえんです.mp3,はさみは、にひゃくえんです.mp3,はさみは、さんぜんえんです.mp3,はさみは、ひゃくごじゅうえんです.mp3,はさみは、よんひゃくえんです.mp3,1
2,M05MCIA01,M05MCIA01_resized.jpg,じょうぎは、ひゃくえんです.mp3,じょうぎは、ごじゅうえんです.mp3,じょうぎは、にひゃくごじゅうえんです.mp3,じょうぎは、さんびゃくえんです.mp3,じょうぎは、ななひゃくえんです.mp3,1
3,M05MCIA01,M05MCIA01_resized.jpg,ノートは、はちじゅうえんです.mp3,ノートは、ひゃくえんです.mp3,ノートは、ひゃくにじゅうえんです.mp3,ノートは、ひゃくごじゅうえんです.mp3,ノートは、にひゃくごじゅうえんです.mp3,1
4,M05MCIA01,M05MCIA01_resized.jpg,マーカーは、ひゃくえんです.mp3,マーカーは、にひゃくえんです.mp3,マーカーは、ごじゅうえんです.mp3,マーカーは、ななひゃくえんです.mp3,マーカーは、ろっぴゃくえんです.mp3,1
5,M05MCIA02,M05MCIA02_resized.jpg,ほんは、せんえんです.mp3,ほんは、ごひゃくえんです.mp3,ほんは、にひゃくえんです.mp3,ほんは、にまんえんです.mp3,ほんは、はっぴゃくえんです.mp3,1
6,M05MCIA02,M05MCIA02_resized.jpg,スパイラルノートは、ろっぴゃくえんです.mp3,スパイラルノートは、せんえんです.mp3,スパイラルノートは、にせんえんです.mp3,スパイラルノートは、ごひゃくえんです.mp3,スパイラルノートは、ごせんえんです.mp3,1
7,M05MCIA02,M05MCIA02_resized.jpg,ペンは、にひゃくえんです.mp3,ペンは、ごひゃくえんです.mp3,ペンは、ろっぴゃくえんです.mp3,ペンは、ひゃくえんです.mp3,ペンは、いちまんえんです.mp3,1
8,M05MCIA03,M05MCIA03_resized.jpg,かばんは、にせんえんです.mp3,かばんは、ごせんえんです.mp3,かばんは、ひゃくえんです.mp3,かばんは、ろっぴゃくえんです.mp3,かばんは、ひゃくごじゅうえんです.mp3,1
9,M05MCIA03,M05MCIA03_resized.jpg,くつは、にせんえんです.mp3,くつは、さんぜんえんです.mp3,くつは、せんえんです.mp3,くつは、よんせんえんです.mp3,くつは、ごひゃくえんです.mp3,1
10,M05MCIA03,M05MCIA03_resized.jpg,Tシャツは、せんごひゃくえんです.mp3,Tシャツは、にせんえんです.mp3,Tシャツは、ごえんです.mp3,Tシャツは、はっぴゃくえんです.mp3,Tシャツは、にじゅうえんです.mp3,1
11,M05MCIA03,M05MCIA03_resized.jpg,ジャケットは、ごせんえんです.mp3,ジャケットは、はっせんえんです.mp3,ジャケットは、きゅうじゅうえんです.mp3,ジャケットは、せんにひゃくえんです.mp3,ジャケットは、にせんえんです.mp3,1
12,M05MCIA04,M05MCIA04_resized.jpg,シャンプーは、ろっぴゃくえんです.mp3,シャンプーは、にひゃくえんです.mp3,シャンプーは、せんにひゃくえんです.mp3,シャンプーは、ひゃくえんです.mp3,シャンプーは、ななじゅうえんです.mp3,1
