ID,Unit,Question,Choice1,Choice2,Choice3,Choice4,Choice5,Answer
1,M06MCIE01,M06MCIE01_resized.jpg,私は、櫻井です。ジョンさん、これは、ほんです。.mp3,私は、櫻井です。ジョンさん、それは、ほんです。.mp3,私は、櫻井です。ジョンさん、あれは、ほんです。.mp3,私は、櫻井です。ジョンさん、どれは、ほんです。.mp3,私は、櫻井です。ジョンさん、おれは、ほんです。.mp3,2
2,M06MCIE01,M06MCIE01_resized.jpg,私は、櫻井です。ジョンさん、これは、かばんです。.mp3,私は、櫻井です。ジョンさん、それは、かばんです。.mp3,私は、櫻井です。ジョンさん、あれは、かばんです。.mp3,私は、櫻井です。ジョンさん、どれは、かばんです。.mp3,私は、櫻井です。ジョンさん、おれは、かばんです。.mp3,1
3,M06MCIE01,M06MCIE01_resized.jpg,私は、櫻井です。ジョンさん、それは、みずです。.mp3,私は、櫻井です。ジョンさん、これは、みずです。.mp3,私は、櫻井です。ジョンさん、あれは、みずです。.mp3,私は、櫻井です。ジョンさん、どれは、みずです。.mp3,私は、櫻井です。ジョンさん、おれは、みずです。.mp3,2
4,M06MCIE01,M06MCIE01_resized.jpg,私は、櫻井です。ジョンさん、これは、いすです。.mp3,私は、櫻井です。ジョンさん、それは、いすです。.mp3,私は、櫻井です。ジョンさん、あれは、いすです。.mp3,私は、櫻井です。ジョンさん、どれは、いすです。.mp3,私は、櫻井です。ジョンさん、おれは、いすです。.mp3,3
5,M06MCIE01,M06MCIE01_resized.jpg,私は、櫻井です。ジョンさん、これは、えんぴつです。.mp3,私は、櫻井です。ジョンさん、それは、えんぴつです。.mp3,私は、櫻井です。ジョンさん、あれは、えんぴつです。.mp3,私は、櫻井です。ジョンさん、どれは、えんぴつです。.mp3,私は、櫻井です。ジョンさん、おれは、えんぴつです。.mp3,2
6,M06MCIE01,M06MCIE01_resized.jpg,私は、ジョンです。櫻井さん、これは、まどです。.mp3,私は、ジョンです。櫻井さん、それは、まどです。.mp3,私は、ジョンです。櫻井さん、あれは、まどです。.mp3,私は、ジョンです。櫻井さん、どれは、まどです。.mp3,私は、ジョンです。櫻井さん、おれは、まどです。.mp3,3
7,M06MCIE01,M06MCIE01_resized.jpg,私は、ジョンです。櫻井さん、これは、ノートです。.mp3,私は、ジョンです。櫻井さん、それは、ノートです。.mp3,私は、ジョンです。櫻井さん、あれは、ノートです。.mp3,私は、ジョンです。櫻井さん、どれは、ノートです。.mp3,私は、ジョンです。櫻井さん、おれは、ノートです。.mp3,1
8,M06MCIE01,M06MCIE01_resized.jpg,私は、ジョンです。櫻井さん、これは、かばんです。.mp3,私は、ジョンです。櫻井さん、それは、かばんです。.mp3,私は、ジョンです。櫻井さん、あれは、かばんです。.mp3,私は、ジョンです。櫻井さん、どれは、かばんです。.mp3,私は、ジョンです。櫻井さん、おれは、かばんです。.mp3,2
9,M06MCIE01,M06MCIE01_resized.jpg,私は、ジョンです。櫻井さん、これは、ペンケースです。.mp3,私は、ジョンです。櫻井さん、それは、ペンケースです。.mp3,私は、ジョンです。櫻井さん、あれは、ペンケースです。.mp3,私は、ジョンです。櫻井さん、どれは、ペンケースです。.mp3,私は、ジョンです。櫻井さん、おれは、ペンケースです。.mp3,2
10,M06MCIE01,M06MCIE01_resized.jpg,私は、ジョンです。櫻井さん、これは、ほんです。.mp3,私は、ジョンです。櫻井さん、それは、ほんです。.mp3,私は、ジョンです。櫻井さん、あれは、ほんです。.mp3,私は、ジョンです。櫻井さん、どれは、ほんです。.mp3,私は、ジョンです。櫻井さん、おれは、ほんです。.mp3,1
