ID,Unit,Question,Choice1,Choice2,Choice3,Choice4,Choice5,Answer
1,M07MCIJ,あにもイギリスじんです。_resized.jpg,あにもイギリスじんです。.mp3,これはほんです。.mp3,つくえはあたらしいです。.mp3,コーヒーはあついです。.mp3,がっこうはおおきいです。.mp3,1
2,M07MCIJ,あのビルはたかいですね。_resized.jpg,あのビルはたかいですね。.mp3,このケーキはあまいです。.mp3,ねこはちいさいです。.mp3,でんわはあたらしいです。.mp3,ほんはやすいです。.mp3,1
3,M07MCIJ,あめがふっていますね。_resized.jpg,あめがふっていますね。.mp3,かさはあたらしいです。.mp3,いすはふるいです。.mp3,みずはつめたいです。.mp3,くるまはあおいです。.mp3,1
4,M07MCIJ,えきはあそこですよ。_resized.jpg,えきはあそこですよ。.mp3,ペンはあかいです。.mp3,おかしはおいしいです。.mp3,せんせいはしんせつです。.mp3,としょかんはしずかです。.mp3,1
5,M07MCIJ,おかあさんもかいしゃいんです。_resized.jpg,おかあさんもかいしゃいんです。.mp3,りんごはあかいです。.mp3,じてんしゃはあたらしいです。.mp3,バナナはおいしいです。.mp3,ほんはおもしろいです。.mp3,1
6,M07MCIJ,おとうさんもにほんじんです。_resized.jpg,おとうさんもにほんじんです。.mp3,えんぴつはくろいです。.mp3,コップはちいさいです。.mp3,いぬはかわいいです。.mp3,かばんはかるいです。.mp3,1
7,M07MCIJ,かのじょもかいしゃいんです。_resized.jpg,かのじょもかいしゃいんです。.mp3,くつはあたらしいです。.mp3,テレビはおおきいです。.mp3,パンはおいしいです。.mp3,とけいはふるいです。.mp3,1
8,M07MCIJ,かのじょもがくせいです。_resized.jpg,かのじょもがくせいです。.mp3,いすはしろいです。.mp3,ケーキはあまいです。.mp3,くるまはあかいです。.mp3,ノートはあたらしいです。.mp3,1
9,M07MCIJ,かのじょもせんせいです。_resized.jpg,かのじょもせんせいです。.mp3,かさはあおいです。.mp3,みかんはおいしいです。.mp3,でんわはちいさいです。.mp3,ほんはやすいです。.mp3,1
10,M07MCIJ,かれもいしゃです。_resized.jpg,かれもいしゃです。.mp3,ボールペンはあかいです。.mp3,バスはおおきいです。.mp3,コーヒーはつめたいです。.mp3,ざっしはあたらしいです。.mp3,1
11,M07MCIJ,かれもエンジニアです。_resized.jpg,かれもエンジニアです。.mp3,かばんはくろいです。.mp3,パソコンはあたらしいです。.mp3,おちゃはあついです。.mp3,いぬはかわいいです。.mp3,1
12,M07MCIJ,コーヒーはありませんよ。_resized.jpg,コーヒーはありませんよ。.mp3,えんぴつはあたらしいです。.mp3,いすはたかいです。.mp3,ねこはしろいです。.mp3,ほんはおもしろいです。.mp3,1
13,M07MCIJ,このいぬはちいさいですね。_resized.jpg,このいぬはちいさいですね。.mp3,つくえはあたらしいです。.mp3,しんぶんはあたらしいです。.mp3,コップはあかいです。.mp3,バスはおおきいです。.mp3,1
14,M07MCIJ,このえんぴつはよくないですよ。_resized.jpg,このえんぴつはよくないですよ。.mp3,ケーキはおいしいです。.mp3,パンはあまいです。.mp3,かさはあおいです。.mp3,とけいはふるいです。.mp3,1
15,M07MCIJ,このケーキはおいしいですね。_resized.jpg,このケーキはおいしいですね。.mp3,かばんはあたらしいです。.mp3,いすはしろいです。.mp3,でんわはちいさいです。.mp3,みずはつめたいです。.mp3,1
16,M07MCIJ,このノートはあたらしいよ。_resized.jpg,このノートはあたらしいよ。.mp3,コーヒーはあついです。.mp3,くるまはあおいです。.mp3,ペンはあかいです。.mp3,ねこはちいさいです。.mp3,1
17,M07MCIJ,このみずはつめたいですね。_resized.jpg,このみずはつめたいですね。.mp3,ほんはあたらしいです。.mp3,テレビはおおきいです。.mp3,かさはあおいです。.mp3,いぬはかわいいです。.mp3,1
18,M07MCIJ,これはあかいですよ。_resized.jpg,これはあかいですよ。.mp3,おかしはおいしいです。.mp3,つくえはふるいです。.mp3,でんわはあたらしいです。.mp3,バスはおおきいです。.mp3,1
19,M07MCIJ,これはえいごのほんですね。_resized.jpg,これはえいごのほんですね。.mp3,くつはあたらしいです。.mp3,パソコンはあたらしいです。.mp3,みかんはおいしいです。.mp3,コップはちいさいです。.mp3,1
20,M07MCIJ,これはにほんごのほんよ。_resized.jpg,これはにほんごのほんよ。.mp3,ボールペンはあかいです。.mp3,いすはしろいです。.mp3,りんごはあかいです。.mp3,ねこはちいさいです。.mp3,1
21,M07MCIJ,これはにほんのちずですね。_resized.jpg,これはにほんのちずですね。.mp3,コーヒーはあついです。.mp3,かばんはかるいです。.mp3,ケーキはあまいです。.mp3,パンはおいしいです。.mp3,1
22,M07MCIJ,さくらがきれいですね。_resized.jpg,さくらがきれいですね。.mp3,ノートはあたらしいです。.mp3,でんわはちいさいです。.mp3,くるまはあおいです。.mp3,バナナはおいしいです。.mp3,1
23,M07MCIJ,じてんしゃはこわれていますよ。_resized.jpg,じてんしゃはこわれていますよ。.mp3,えんぴつはくろいです。.mp3,ほんはやすいです。.mp3,パソコンはあたらしいです。.mp3,コップはあかいです。.mp3,1
24,M07MCIJ,せんせいですね。_resized.jpg,せんせいですね。.mp3,つくえはたかいです。.mp3,かさはあおいです。.mp3,みずはつめたいです。.mp3,いぬはかわいいです。.mp3,1
25,M07MCIJ,そのがくせいもブラジルじんです。_resized.jpg,そのがくせいもブラジルじんです。.mp3,ボールペンはあたらしいです。.mp3,ケーキはおいしいです。.mp3,とけいはふるいです。.mp3,しんぶんはあたらしいです。.mp3,1
26,M07MCIJ,それもかばんです。_resized.jpg,それもかばんです。.mp3,コーヒーはあついです。.mp3,ねこはしろいです。.mp3,みかんはおいしいです。.mp3,いすはしろいです。.mp3,1
27,M07MCIJ,それもくつです。_resized.jpg,それもくつです。.mp3,おちゃはつめたいです。.mp3,パンはあまいです。.mp3,テレビはおおきいです。.mp3,ほんはやすいです。.mp3,1
28,M07MCIJ,それもくるまです。_resized.jpg,それもくるまです。.mp3,りんごはあかいです。.mp3,えんぴつはあたらしいです。.mp3,かさはあおいです。.mp3,でんわはちいさいです。.mp3,1
29,M07MCIJ,それもざっしです。_resized.jpg,それもざっしです。.mp3,バスはおおきいです。.mp3,いぬはちいさいです。.mp3,コップはあかいです。.mp3,ノートはあたらしいです。.mp3,1
30,M07MCIJ,それもじてんしゃです。_resized.jpg,それもじてんしゃです。.mp3,パソコンはあたらしいです。.mp3,みずはつめたいです。.mp3,おかしはおいしいです。.mp3,つくえはふるいです。.mp3,1
31,M07MCIJ,それもしんぶんです。_resized.jpg,それもしんぶんです。.mp3,かばんはかるいです。.mp3,ケーキはあまいです。.mp3,ペンはあかいです。.mp3,バナナはおいしいです。.mp3,1
32,M07MCIJ,それもパソコンです。_resized.jpg,それもパソコンです。.mp3,ボールペンはくろいです。.mp3,コーヒーはつめたいです。.mp3,いすはたかいです。.mp3,ねこはかわいいです。.mp3,1
33,M07MCIJ,それもほんです。_resized.jpg,それもほんです。.mp3,くつはあたらしいです。.mp3,パンはおいしいです。.mp3,とけいはふるいです。.mp3,くるまはあおいです。.mp3,1
34,M07MCIJ,バスがきますよ。_resized.jpg,バスがきますよ。.mp3,テレビはおおきいです。.mp3,りんごはあかいです。.mp3,かさはあおいです。.mp3,ノートはあたらしいです。.mp3,1
35,M07MCIJ,ほんがたくさんありますね。_resized.jpg,ほんがたくさんありますね。.mp3,えんぴつはあたらしいです。.mp3,みかんはおいしいです。.mp3,いぬはちいさいです。.mp3,コップはちいさいです。.mp3,1
36,M07MCIJ,やまがみえますよ。_resized.jpg,やまがみえますよ。.mp3,しんぶんはあたらしいです。.mp3,おかしはおいしいです。.mp3,でんわはちいさいです。.mp3,つくえはたかいです。.mp3,1
37,M07MCIJ,今日はあついですね。_resized.jpg,今日はあついですね。.mp3,かばんはかるいです。.mp3,パソコンはあたらしいです。.mp3,ケーキはあまいです。.mp3,ペンはあかいです。.mp3,1
