ID,Unit,Question,Choice1,Choice2,Choice3,Choice4,Choice5,Answer
1,M08MCFB,わたしはとしょかん（　）ざっしをよみます。,を,が,に,へ,で,5
2,M08MCFB,ジョンさんはラガーディアコミュニティーカレッジ（　）いきます。,を,が,に,へ,で,4
3,M08MCFB,メアリーさん（　）ニューヨークだいがくの<ruby><rb>学生</rb><rt>がくせい</rt></ruby>です。,を,が,に,へ,で,2
4,M08MCFB,わたしはコーヒー（　）のみます。,を,が,に,へ,で,1
5,M08MCFB,ともだち（　）あいます。,を,が,に,へ,で,3
6,M08MCFB,びじゅつかん（　）いきます。,を,が,に,へ,で,4
7,M08MCFB,まいあさパン（　）たべます。,を,が,に,へ,で,1
8,M08MCFB,サラさんはバス（　）がっこうへいきます。,を,が,に,へ,で,5
9,M08MCFB,わたしのアパート（　）テレビがあります。,を,が,に,へ,で,3
10,M08MCFB,<ruby><rb>日</rb><rt>にち</rt></ruby>よう<ruby><rb>日</rb><rt>び</rt></ruby>にセントラルパーク（　）さんぽします。,を,が,に,へ,で,1
11,M08MCFB,<ruby><rb>先生</rb><rt>せんせい</rt></ruby>（　）クラスにいます。,を,が,に,へ,で,2
12,M08MCFB,としょかん（　）ほんをかります。,を,が,に,へ,で,5
13,M08MCFB,どこ（　）ともだちとあいますか。,を,が,に,へ,で,5
14,M08MCFB,らいしゅうニューヨーク（　）いきます。,を,が,に,へ,で,4
15,M08MCFB,ジム（　）バスケットボールをします。,を,が,に,へ,で,5
16,M08MCFB,あしたラガーディア（　）テストがあります。,を,が,に,へ,で,5
17,M08MCFB,だれ（　）ケーキをつくりましたか。,を,が,に,へ,で,2
18,M08MCFB,わたしはまいばんテレビ（　）みます。,を,が,に,へ,で,1
19,M08MCFB,がっこう（　）ともだちとあそびます。,を,が,に,へ,で,5
20,M08MCFB,しごと（　）します。,を,が,に,へ,で,1
21,M08MCFB,ブルックリン（　）すんでいます。,を,が,に,へ,で,3
22,M08MCFB,まいしゅう<ruby><rb>土</rb><rt>ど</rt></ruby>よう<ruby><rb>日</rb><rt>び</rt></ruby>にレストラン（　）はたらきます。,を,が,に,へ,で,5
23,M08MCFB,マンハッタン（　）えいがをみにいきます。,を,が,に,へ,で,4
24,M08MCFB,あさごはん（　）パンとたまごをたべます。,を,が,に,へ,で,1
25,M08MCFB,クイーンズ（　）バスでいきます。,を,が,に,へ,で,4
26,M08MCFB,だれ（　）このほんをよみましたか。,を,が,に,へ,で,2
27,M08MCFB,がっこう（　）ともだちがいます。,を,が,に,へ,で,3
28,M08MCFB,コーヒー（　）さとうをいれます。,を,が,に,へ,で,3
29,M08MCFB,ラガーディア（　）にほんごをべんきょうします。,を,が,に,へ,で,5
30,M08MCFB,えいが（　）みます。,を,が,に,へ,で,1
31,M08MCFB,ニューヨーク（　）ともだちがきます。,を,が,に,へ,で,3
32,M08MCFB,としょかん（　）しゅくだいをします。,を,が,に,へ,で,5
33,M08MCFB,まいばん10じ（　）ねます。,を,が,に,へ,で,3
34,M08MCFB,バス（　）のります。,を,が,に,へ,で,3
35,M08MCFB,サラダ（　）つくります。,を,が,に,へ,で,1
36,M08MCFB,カフェ（　）コーヒーをのみます。,を,が,に,へ,で,5
37,M08MCFB,<ruby><rb>日</rb><rt>にち</rt></ruby>よう<ruby><rb>日</rb><rt>び</rt></ruby>（　）こうえんへいきます。,を,が,に,へ,で,3
38,M08MCFB,ラジオ（　）ききます。,を,が,に,へ,で,1
39,M08MCFB,がっこう（　）じゅぎょうがあります。,を,が,に,へ,で,3
40,M08MCFB,ともだち（　）プレゼントをかいます。,を,が,に,へ,で,3
41,M08MCFB,ニューヨークだいがく（　）いそがしいです。,を,が,に,へ,で,2
42,M08MCFB,あした（　）テストがあります。,を,が,に,へ,で,3
43,M08MCFB,まいあさ6じ（　）おきます。,を,が,に,へ,で,3
44,M08MCFB,レポート（　）かきます。,を,が,に,へ,で,1
45,M08MCFB,バスてい（　）まちます。,を,が,に,へ,で,5
46,M08MCFB,テニス（　）します。,を,が,に,へ,で,1
47,M08MCFB,がっこう（　）いそがしいです。,を,が,に,へ,で,2
48,M08MCFB,まいしゅう<ruby><rb>月</rb><rt>つき</rt></ruby>よう<ruby><rb>日</rb><rt>び</rt></ruby>（　）ほんをよみます。,を,が,に,へ,で,3
49,M08MCFB,デパート（　）かいものをします。,を,が,に,へ,で,5
50,M08MCFB,ニューヨーク（　）すきなところです。,を,が,に,へ,で,2
