ID,Unit,Question,Choice1,Choice2,Choice3,Choice4,Choice5,Answer
1,M08MCIA,サントスさんは毎朝パンを食べます_resized.jpg,サントスさんは毎朝パンを食べます.mp3,サントスさんは毎朝サンドイッチを食べます.mp3,サントスさんは毎朝ケーキを食べます.mp3,サントスさんは毎朝サラダを食べます.mp3,サントスさんは毎朝たまごを食べます.mp3,1
2,M08MCIA,お父さんはコーヒーを飲みます_resized.jpg,お父さんはコーヒーを飲みます.mp3,お父さんはジュースを飲みます.mp3,お父さんはお茶を飲みます.mp3,お父さんはミルクを飲みます.mp3,お父さんはみずを飲みます.mp3,1
3,M08MCIA,山田さんは図書館で本を読みます_resized.jpg,山田さんは図書館で本を読みます.mp3,山田さんは公園で雑誌を読みます.mp3,山田さんはカフェで新聞を読みます.mp3,山田さんは学校で手紙を読みます.mp3,山田さんは電車で漫画を読みます.mp3,1
4,M08MCIA,たけしさんは友達と公園でサッカーをします_resized.jpg,たけしさんは友達と公園でサッカーをします.mp3,たけしさんは兄弟と学校でテニスをします.mp3,たけしさんは先輩とプールで水泳をします.mp3,たけしさんは先生と教室で将棋をします.mp3,たけしさんは姉妹と図書館で勉強をします.mp3,1
5,M08MCIA,ジョンさんは夜テレビを見ます_resized.jpg,ジョンさんは夜テレビを見ます.mp3,ジョンさんは夜映画を見ます.mp3,ジョンさんは夜星を見ます.mp3,ジョンさんは夜宿題を見ます.mp3,ジョンさんは夜空を見ます.mp3,1
6,M08MCIA,学生は毎日勉強します_resized.jpg,学生は毎日勉強します.mp3,学生は毎日運動します.mp3,学生は毎日料理します.mp3,学生は毎日掃除します.mp3,学生は毎日練習します.mp3,1
7,M08MCIA,マイケルさんは日曜日に映画館に行きます_resized.jpg,マイケルさんは日曜日に映画館に行きます.mp3,マイケルさんは日曜日にプールに行きます.mp3,マイケルさんは日曜日に喫茶店に行きます.mp3,マイケルさんは日曜日に美術館に行きます.mp3,マイケルさんは日曜日に図書館に行きます.mp3,1
8,M08MCIA,妹は毎晩八時に寝ます_resized.jpg,妹は毎晩八時に寝ます.mp3,妹は毎晩八時に起きます.mp3,妹は毎晩八時に勉強します.mp3,妹は毎晩八時に遊びます.mp3,妹は毎晩八時に電話します.mp3,1
9,M08MCIA,サントスさんは音楽を聞きます_resized.jpg,サントスさんは音楽を聞きます.mp3,サントスさんはニュースを聞きます.mp3,サントスさんはラジオを聞きます.mp3,サントスさんは鳥の声を聞きます.mp3,サントスさんは友達の声を聞きます.mp3,1
10,M08MCIA,木村さんは手紙を書きます_resized.jpg,木村さんは手紙を書きます.mp3,木村さんは宿題を書きます.mp3,木村さんは日記を書きます.mp3,木村さんは名前を書きます.mp3,木村さんはメールを書きます.mp3,1
11,M08MCIA,ジョンさんは毎晩十時に寝ます_resized.jpg,ジョンさんは毎晩十時に寝ます.mp3,ジョンさんは毎晩十時に起きます.mp3,ジョンさんは毎晩十時に勉強します.mp3,ジョンさんは毎晩十時に食べます.mp3,ジョンさんは毎晩十時に聞きます.mp3,1
12,M08MCIA,サントスさんはよくレストランで晩ご飯を食べます_resized.jpg,サントスさんはよくレストランで晩ご飯を食べます.mp3,サントスさんはよくカフェで朝ご飯を食べます.mp3,サントスさんはよく公園で昼ご飯を食べます.mp3,サントスさんはよく学校でおやつを食べます.mp3,サントスさんはよく駅でアイスを食べます.mp3,1
13,M08MCIA,サントスさんは月曜日から金曜日まで学校に行きます_resized.jpg,サントスさんは月曜日から金曜日まで学校に行きます.mp3,サントスさんは月曜日から金曜日まで会社に行きます.mp3,サントスさんは月曜日から金曜日までプールに行きます.mp3,サントスさんは月曜日から金曜日まで図書館に行きます.mp3,サントスさんは月曜日から金曜日まで喫茶店に行きます.mp3,1
