ID,Unit,Question,Choice1,Choice2,Choice3,Choice4,Choice5,Answer
1,M09MCIJ,コーヒーを飲みませんか_resized.jpg,コーヒーを飲みませんか,コーヒーを食べませんか,コーヒーを読みませんか,コーヒーを勉強しませんか,コーヒーを見ませんか,1
2,M09MCIJ,いっしょに昼ご飯を食べませんか_resized.jpg,いっしょに昼ご飯を食べませんか,いっしょに昼ご飯を飲みませんか,いっしょに昼ご飯を読みませんか,いっしょに昼ご飯を帰りませんか,いっしょに昼ご飯をしませんか,1
3,M09MCIJ,メトロポリタン美術館へ行きませんか_resized.jpg,メトロポリタン美術館へ行きませんか,メトロポリタン美術館を食べませんか,メトロポリタン美術館で勉強しませんか,メトロポリタン美術館を読みませんか,メトロポリタン美術館を見ませんか,1
4,M09MCIJ,コーヒーショップでニューヨークチーズケーキを食べませんか_resized.jpg,コーヒーショップでニューヨークチーズケーキを食べませんか,コーヒーショップでニューヨークチーズケーキを飲みませんか,コーヒーショップでニューヨークチーズケーキを勉強しませんか,コーヒーショップでニューヨークチーズケーキを帰りませんか,コーヒーショップでニューヨークチーズケーキを見ませんか,1
5,M09MCIJ,図書館で勉強しませんか_resized.jpg,図書館で勉強しませんか,図書館で食べませんか,図書館で飲みませんか,図書館で帰りませんか,図書館で行きませんか,1
6,M09MCIJ,ブロードウェイでミュージカルを見ませんか_resized.jpg,ブロードウェイでミュージカルを見ませんか,ブロードウェイでミュージカルを食べませんか,ブロードウェイでミュージカルを飲みませんか,ブロードウェイでミュージカルを勉強しませんか,ブロードウェイでミュージカルを読みませんか,1
7,M09MCIJ,タイムズスクエアで買い物しませんか_resized.jpg,タイムズスクエアで買い物しませんか,タイムズスクエアで買い物を食べませんか,タイムズスクエアで買い物を飲みませんか,タイムズスクエアで買い物を見ませんか,タイムズスクエアで買い物を帰りませんか,1
8,M09MCIJ,日本語で話しませんか_resized.jpg,日本語で話しませんか,日本語を食べませんか,日本語を飲みませんか,日本語を勉強しませんか,日本語を見ませんか,1
9,M09MCIJ,モーニングコーヒーを飲みませんか_resized.jpg,モーニングコーヒーを飲みませんか,モーニングコーヒーを食べませんか,モーニングコーヒーを読みませんか,モーニングコーヒーを勉強しませんか,モーニングコーヒーを見ませんか,1
10,M09MCIJ,音楽を聞きませんか_resized.jpg,音楽を聞きませんか,音楽を食べませんか,音楽を飲みませんか,音楽を勉強しませんか,音楽を見ませんか,1
11,M09MCIJ,リトルイタリーでピザを食べませんか_resized.jpg,リトルイタリーでピザを食べませんか,リトルイタリーでピザを飲みませんか,リトルイタリーでピザを読みませんか,リトルイタリーでピザを勉強しませんか,リトルイタリーでピザを見ませんか,1
12,M09MCIJ,ロックフェラーセンターのクリスマスツリーを見ませんか_resized.jpg,ロックフェラーセンターのクリスマスツリーを見ませんか,ロックフェラーセンターのクリスマスツリーを食べませんか,ロックフェラーセンターのクリスマスツリーを飲みませんか,ロックフェラーセンターのクリスマスツリーを勉強しませんか,ロックフェラーセンターのクリスマスツリーを読みませんか,1
13,M09MCIJ,ニューヨーク公共図書館で本を読みませんか_resized.jpg,ニューヨーク公共図書館で本を読みませんか,ニューヨーク公共図書館で本を食べませんか,ニューヨーク公共図書館で本を飲みませんか,ニューヨーク公共図書館で本を勉強しませんか,ニューヨーク公共図書館で本を見ませんか,1
14,M09MCIJ,コロンバスサークルで昼ご飯を食べませんか_resized.jpg,コロンバスサークルで昼ご飯を食べませんか,コロンバスサークルで昼ご飯を飲みませんか,コロンバスサークルで昼ご飯を読みませんか,コロンバスサークルで昼ご飯を勉強しませんか,コロンバスサークルで昼ご飯を見ませんか,1
15,M09MCIJ,五番街のショーウィンドーを見ませんか_resized.jpg,五番街のショーウィンドーを見ませんか,五番街のショーウィンドーを食べませんか,五番街のショーウィンドーを飲みませんか,五番街のショーウィンドーを勉強しませんか,五番街のショーウィンドーを読みませんか,1
16,M09MCIJ,この雑誌を読みませんか_resized.jpg,この雑誌を読みませんか,この雑誌を食べませんか,この雑誌を飲みませんか,この雑誌を勉強しませんか,この雑誌を見ませんか,1
17,M09MCIJ,あのレストランへ行きませんか_resized.jpg,あのレストランへ行きませんか,あのレストランを食べませんか,あのレストランを飲みませんか,あのレストランを勉強しませんか,あのレストランを見ませんか,1
18,M09MCIJ,メトロカードを一緒に買いませんか_resized.jpg,メトロカードを一緒に買いませんか,メトロカードを一緒に食べませんか,メトロカードを一緒に飲みませんか,メトロカードを一緒に勉強しませんか,メトロカードを一緒に見ませんか,1
19,M09MCIJ,ニューヨークタイムズスクエアのカウントダウンを見ませんか_resized.jpg,ニューヨークタイムズスクエアのカウントダウンを見ませんか,ニューヨークタイムズスクエアのカウントダウンを食べませんか,ニューヨークタイムズスクエアのカウントダウンを飲みませんか,ニューヨークタイムズスクエアのカウントダウンを勉強しませんか,ニューヨークタイムズスクエアのカウントダウンを読みませんか,1
20,M09MCIJ,ハーレムのジャズクラブへ行きませんか_resized.jpg,ハーレムのジャズクラブへ行きませんか,ハーレムのジャズクラブを食べませんか,ハーレムのジャズクラブを飲みませんか,ハーレムのジャズクラブを勉強しませんか,ハーレムのジャズクラブを見ませんか,1
21,M09MCIJ,ユニオンスクエアでストリートパフォーマンスを見ませんか_resized.jpg,ユニオンスクエアでストリートパフォーマンスを見ませんか,ユニオンスクエアでストリートパフォーマンスを食べませんか,ユニオンスクエアでストリートパフォーマンスを飲みませんか,ユニオンスクエアでストリートパフォーマンスを勉強しませんか,ユニオンスクエアでストリートパフォーマンスを読みませんか,1
22,M09MCIJ,ノートを貸しませんか_resized.jpg,ノートを貸しませんか,ノートを食べませんか,ノートを飲みませんか,ノートを勉強しませんか,ノートを見ませんか,1
23,M09MCIJ,バスで帰りませんか_resized.jpg,バスで帰りませんか,バスで食べませんか,バスで飲みませんか,バスで勉強しませんか,バスで見ませんか,1
