これはだれのかさですか。; Whose umbrella is this?
それはだれの本ですか。; Whose book is that?
あれはだれの車ですか。; Whose car is that over there?
これはだれのペンですか。; Whose pen is this?
それはだれのノートですか。; Whose notebook is that?
あれはだれの時計ですか。; Whose watch is that over there?
これはだれの雑誌ですか。; Whose magazine is this?
それはだれの辞書ですか。; Whose dictionary is that?
あれはだれの傘ですか。; Whose umbrella is that over there?
これはだれの手帳ですか。; Whose planner is this?
それはだれの鍵ですか。; Whose key is that?
あれはだれの眼鏡ですか。; Whose glasses are those over there?
これはだれの名刺ですか。; Whose business card is this?
それはだれの写真ですか。; Whose photograph is that?
あれはだれの自転車ですか。; Whose bicycle is that over there?
これはだれの財布ですか。; Whose wallet is this?
それはだれの靴ですか。; Whose shoes are those?
あれはだれの鞄ですか。; Whose bag is that over there?
これはだれの机ですか。; Whose desk is this?
それはだれの椅子ですか。; Whose chair is that?
あれはだれの窓ですか。; Whose window is that over there?
これはだれのドアですか。; Whose door is this?
それはだれの電話ですか。; Whose phone is that?
あれはだれのカメラですか。; Whose camera is that over there?
これはだれのラジオですか。; Whose radio is this?
それはだれのテレビですか。; Whose television is that?
あれはだれのコンピューターですか。; Whose computer is that over there?
これはだれの地図ですか。; Whose map is this?
それはだれの新聞ですか。; Whose newspaper is that?
あれはだれのノートパソコンですか。; Whose laptop is that over there?
これはだれのカードですか。; Whose card is this?
それはだれの手紙ですか。; Whose letter is that?
あれはだれの封筒ですか。; Whose envelope is that over there?
これはだれのチケットですか。; Whose ticket is this?
それはだれのカタログですか。; Whose catalog is that?
あれはだれの名札ですか。; Whose name tag is that over there?
これはだれの教科書ですか。; Whose textbook is this?
それはだれの参考書ですか。; Whose reference book is that?
あれはだれの問題集ですか。; Whose workbook is that over there?
これはだれのボールペンですか。; Whose ballpoint pen is this?
それはだれのえんぴつですか。; Whose pencil is that?
あれはだれの消しゴムですか。; Whose eraser is that over there?
これはだれの定規ですか。; Whose ruler is this?
それはだれのハサミですか。; Whose scissors are those?
あれはだれののりですか。; Whose glue is that over there?
これはだれのホッチキスですか。; Whose stapler is this?
それはだれの付箋ですか。; Whose sticky notes are those?
あれはだれのファイルですか。; Whose file is that over there?
これはだれのバインダーですか。; Whose binder is this?
