はい、承知いたしました。以下が「です」の過去形「でした」を使った例文50個です。

これは私のペンでした。; This was my pen.
あれは図書館でした。; That was the library.
マリアさんは学生でした。; Maria was a student.
これは私の車でした。; This was my car.
あの人は私の友達でした。; That person was my friend.
これはコンビニのコーヒーでした。; This was convenience store coffee.
それは私の傘でした。; That was my umbrella.
ニューヨークの天気は雨でした。; The weather in New York was rainy.
これは私のノートパソコンでした。; This was my laptop.
昨日は月曜日でした。; Yesterday was Monday.
あの映画は面白かったですが、長かったです。; That movie was interesting, but it was long.
私の国は日本でした。; My home country was Japan.
これは私のカメラでした。; This was my camera.
セントラル・パークはとても静かでした。; Central Park was very quiet.
それは私の自転車でした。; That was my bicycle.
あの店員は親切でした。; That clerk was kind.
私の電話はこれでした。; My phone was this one.
テストは難しかったですが、勉強しました。; The test was difficult, but I studied.
あの男の人は医者でした。; That man was a doctor.
私の一番好きな場所はここでした。; My favorite place was here.
それは私のチケットでした。; That was my ticket.
メトロポリタン美術館はすごかったです。; The Metropolitan Museum of Art was amazing.
私の兄弟は高校生でした。; My sibling was a high school student.
あのレストランの料理は高かったです。; The food at that restaurant was expensive.
これは私の母の写真でした。; This was a picture of my mother.
タイムズスクエアはにぎやかでした。; Times Square was lively.
私の誕生日は先週でした。; My birthday was last week.
それは私の雑誌でした。; That was my magazine.
あの女の人は有名な先生でした。; That woman was a famous teacher.
私の鞄はこれでした。; My bag was this one.
あの猫はかわいかったです。; That cat was cute.
これは私の新しい時計でした。; This was my new watch.
音楽会はよかったです。; The concert was good.
それは私の辞書でした。; That was my dictionary.
あの建物は大学でした。; That building was a university.
私の趣味は写真でした。; My hobby was photography.
ニューヨークのパンはおいしかったです。; The bread in New York was delicious.
これは私の弟の本でした。; This was my younger brother's book.
天気はよかったです。; The weather was good.
あの車は新しかったです。; That car was new.
これは私の地図でした。; This was my map.
映画館はあそこでした。; The movie theater was over there.
私の好きな色は青でした。; My favorite color was blue.
そのニュースは重要でした。; That news was important.
これは私の名刺でした。; This was my business card.
あの公園はきれいでした。; That park was beautiful.
私の電話番号はこれでした。; My phone number was this.
あの試験は大変でした。; That exam was tough.
これは私の椅子でした。; This was my chair.
自由の女神は大きかったです。; The Statue of Liberty was big.
