銀行があります; There is a bank.
スーパーがあります; There is a supermarket.
駅があります; There is a train station.
公園があります; There is a park.
猫がいます; There is a cat.
犬がいます; There is a dog.
学生がいます; There is a student.
先生がいます; There is a teacher.
図書館があります; There is a library.
レストランがあります; There is a restaurant.
ニューヨークに高いビルがあります; There are tall buildings in New York.
大学があります; There is a university.
コンビニがあります; There is a convenience store.
病院があります; There is a hospital.
喫茶店があります; There is a coffee shop.
セントラルパークに池があります; There is a pond in Central Park.
郵便局があります; There is a post office.
映画館があります; There is a movie theater.
ブロードウェイに劇場があります; There are theaters on Broadway.
友達がいます; I have a friend. / There is a friend.
兄弟がいます; I have siblings. / There are siblings.
会社があります; There is a company.
店があります; There is a store.
博物館があります; There is a museum.
エンパイアステートビルがあります; There is the Empire State Building.
地下鉄の駅があります; There is a subway station.
美術館があります; There is an art museum.
カフェがあります; There is a cafe.
ホテルがあります; There is a hotel.
タイムズスクエアに大きな看板があります; There are big signs in Times Square.
アイスクリーム屋があります; There is an ice cream shop.
本屋があります; There is a bookstore.
バス停があります; There is a bus stop.
魚がいます; There is a fish.
妹がいます; I have a younger sister.
お金があります; I have money. / There is money.
ペンがあります; I have a pen. / There is a pen.
時計があります; I have a watch. / There is a watch.
テーブルの上に花があります; There are flowers on the table.
椅子があります; There is a chair.
窓があります; There is a window.
トイレがあります; There is a toilet.
電話があります; There is a telephone.
コンピューターがあります; There is a computer.
ベッドがあります; There is a bed.
冷蔵庫があります; There is a refrigerator.
車があります; I have a car. / There is a car.
自転車があります; I have a bicycle. / There is a bicycle.
ラジオがあります; There is a radio.
カメラがあります; I have a camera. / There is a camera.
テレビがあります; There is a television.
