コーヒーも飲みます。; I also drink coffee.
ニューヨークも好きです。; I like New York too.
学生も先生もいます。; There are both students and teachers.
映画も見ます。; I also watch movies.
日本語も英語も勉強します。; I study both Japanese and English.
セントラルパークも行きます。; I also go to Central Park.
本も雑誌も読みます。; I read both books and magazines.
土曜日も日曜日も働きます。; I work on both Saturdays and Sundays.
友達も家族もニューヨークにいます。; Both my friends and family are in New York.
コーヒーも紅茶も飲みません。; I drink neither coffee nor tea.
あのレストランも高いです。; That restaurant is also expensive.
月曜日も火曜日も学校があります。; I have school on both Monday and Tuesday.
この本も面白いです。; This book is also interesting.
日本語のクラスも英語のクラスも楽しいです。; Both Japanese and English classes are fun.
私は学生です。トムさんも学生です。; I am a student. Tom is also a student.
マンハッタンもブルックリンもにぎやかです。; Both Manhattan and Brooklyn are lively.
パンもケーキも食べます。; I eat both bread and cake.
あの店も安いです。; That store is also cheap.
図書館も静かです。; The library is also quiet.
ニューヨークの冬も寒いです。; New York's winter is also cold.
コーラもオレンジジュースもあります。; There is both cola and orange juice.
音楽も聞きます。; I also listen to music.
宿題もします。; I also do homework.
日曜日も勉強します。; I study on Sundays too.
駅もバス停も近いです。; Both the train station and the bus stop are close.
私は日本人です。マリアさんも日本人です。; I am Japanese. Maria is also Japanese.
コーヒーショップもコンビニもあります。; There are both coffee shops and convenience stores.
あの美術館も有名です。; That museum is also famous.
私のアパートも古いです。; My apartment is also old.
テストも簡単でした。; The test was also easy.
このカフェもいいです。; This cafe is also good.
土曜日も暇じゃありません。; I'm not free on Saturday either.
ニューヨークの夏も暑いです。; New York's summer is also hot.
メアリーさんも来ます。; Mary is also coming.
寿司も食べます。; I also eat sushi.
この映画も長いです。; This movie is also long.
地下鉄もバスも便利です。; Both the subway and the bus are convenient.
日本語も難しいです。; Japanese is also difficult.
この雑誌も新しいです。; This magazine is also new.
私は行きません。ケンさんも行きません。; I am not going. Ken is not going either.
公園もきれいです。; The park is also beautiful.
あのビルも高いです。; That building is also tall.
私の部屋も広いです。; My room is also spacious.
そのレストランもおいしいです。; That restaurant is also delicious.
宿題も多いです。; The homework is also a lot.
月曜日も雨です。; It is also rainy on Monday.
タイムズスクエアも明るいです。; Times Square is also bright.
このテストも難しかったです。; This test was also difficult.
ジョンさんも学生じゃありません。; John is also not a student.
私の車も新しくないです。; My car is also not new.
あのスーパーも大きいです。; That supermarket is also big.
この音楽も好きです。; I like this music too.
私は読みません。サラさんも読みません。; I don't read it. Sarah doesn't read it either.
ニューヨークの秋もきれいです。; New York's autumn is also beautiful.
