魚が好きですか。; Do you like fish?
ニューヨークのセントラルパークが好きです。; I like New York's Central Park.
私はコーヒーが好きです。; I like coffee.
サッカーが好きではありません。; I don't like soccer.
彼は映画が好きですか。; Does he like movies?
マリアさんは日本語のクラスが好きです。; Maria likes the Japanese class.
このレストランが好きじゃない。; I don't like this restaurant.
あなたは犬が好きですか、猫が好きですか。; Do you like dogs or cats?
ミュージカルが大好きです。; I love musicals.
私はあの先生が好きではありません。; I don't like that teacher.
寿司が好きな学生です。; He is a student who likes sushi.
トムさんはニューヨークが好きじゃない。; Tom doesn't like New York.
私たちは日本料理が好きです。; We like Japanese food.
私は朝早く起きることが好きじゃない。; I don't like waking up early.
メトロポリタン美術館が好きですか。; Do you like the Metropolitan Museum of Art?
彼女は紅茶が好きです。; She likes black tea.
ジョンさんは勉強がきらいです。; John hates studying.
私は車の運転が好きです。; I like driving a car.
あなたは音楽が好きですか。; Do you like music?
あの店のパンが好きです。; I like the bread from that store.
ニューヨークの冬がきらい。; I hate New York's winter.
私は宿題がきらいではありません。; I don't hate homework.
肉が好きじゃない人はいますか。; Is there anyone who doesn't like meat?
彼はテニスが好きなアスリートです。; He is an athlete who likes tennis.
私は電車が好きです。; I like trains.
コーラがきらいな子供。; A child who dislikes cola.
自由の女神を見ることが好きです。; I like seeing the Statue of Liberty.
あのビルのデザインが好きじゃない。; I don't like the design of that building.
果物の中でりんごが一番好きです。; Among fruits, I like apples the most.
彼女は高い所がきらいです。; She hates high places.
私は友達と話すことが好きです。; I like talking with friends.
タイムズスクエアが好きですか。; Do you like Times Square?
冷たい水が好きです。; I like cold water.
数学のテストがきらいです。; I hate math tests.
小説を読むことが好きな人。; A person who likes reading novels.
私は雨の日がきらいではありません。; I don't hate rainy days.
ニューヨークのピザが大好き！; I love New York pizza!
あなたの猫は魚が好きですか。; Does your cat like fish?
あの新しいスマートフォンが好きです。; I like that new smartphone.
ジョギングがきらいな友達。; A friend who hates jogging.
私は夜遅く寝ることが好きじゃない。; I don't like going to bed late at night.
美術館で絵を見るのが好きです。; I like looking at paintings in museums.
彼はテレビゲームが大好きです。; He loves video games.
緑茶は好きですが、コーヒーはきらいです。; I like green tea, but I hate coffee.
セントラルパークで散歩するのが好き。; I like walking in Central Park.
この町のバスが好きではありません。; I don't like the buses in this town.
夏より冬の方が好きです。; I like winter more than summer.
ブロードウェイのショーが好きな観光客。; A tourist who likes Broadway shows.
静かな場所が好きです。; I like quiet places.
大きな音がきらい。; I hate loud noises.
ニューヨークの地下鉄は好きですか。; Do you like the New York subway?
私は学校の食堂の料理がきらいです。; I hate the school cafeteria food.
