窓を開けてください; Please open the window
ドアを閉めてください; Please close the door
本を読んでください; Please read the book
ここに座ってください; Please sit here
名前を書いてください; Please write your name
静かにしてください; Please be quiet
これを食べてください; Please eat this
あれを見てください; Please look at that
電話をかけてください; Please make a phone call
写真を撮ってください; Please take a picture
音楽を聞いてください; Please listen to the music
水を飲んでください; Please drink water
手を洗ってください; Please wash your hands
ここで待ってください; Please wait here
駅まで行ってください; Please go to the station
ニューヨークの地図を見せてください; Please show me the map of New York
メトロポリタン美術館へ連れて行ってください; Please take me to the Metropolitan Museum of Art
セントラルパークで写真を撮ってください; Please take a picture in Central Park
英語で話してください; Please speak in English
ゆっくり話してください; Please speak slowly
答えを教えてください; Please tell me the answer
ここに来てください; Please come here
あちらへ行ってください; Please go over there
これをトムさんに渡してください; Please give this to Tom
コーヒーを飲んでください; Please drink coffee
ニューヨークの天気を教えてください; Please tell me about the weather in New York
タイムズスクエアへ行ってください; Please go to Times Square
音楽を止めてください; Please stop the music
テレビをつけてください; Please turn on the TV
テレビを消してください; Please turn off the TV
ラジオを聞いてください; Please listen to the radio
本を貸してください; Please lend me the book
ノートを返してください; Please return the notebook
宿題をしてください; Please do your homework
質問をしてください; Please ask a question
日本語で答えてください; Please answer in Japanese
ニューヨークのバスに乗ってください; Please take a bus in New York
地下鉄で来てください; Please come by subway
自由の女神を見てください; Please see the Statue of Liberty
ブロードウェイのミュージカルを見てください; Please watch a Broadway musical
この手紙をポストに入れてください; Please put this letter in the mailbox
ニューヨークの新聞を読んでください; Please read a New York newspaper
ホットドッグを買ってください; Please buy a hot dog
コーヒーショップで休んでください; Please rest at a coffee shop
図書館で勉強してください; Please study at the library
高くさわがないでください; Please don't touch the expensive thing
あぶないですから、はしらないでください; Please don't run because it's dangerous
にもつをもってください; Please carry the luggage
エンパイアステートビルにのぼってください; Please go up the Empire State Building
セントラルパークをさんぽしてください; Please take a walk in Central Park
五番街でかいものをしてください; Please go shopping on Fifth Avenue
