これは私のです; This is mine.
それは田中さんのです; That is Tanaka-san's.
あれは先生のです; That over there is the teacher's.
この本は私のです; This book is mine.
そのかばんはジョンのです; That bag is John's.
あのめがねは山田さんのです; Those glasses over there are Yamada-san's.
私のペンは赤いのです; My pen is the red one.
新しいのは私のです; The new one is mine.
古いのはあなたのです; The old one is yours.
大きいのはニューヨークのホテルのです; The big one is for a New York hotel.
小さいのは私の弟のです; The small one is my younger brother's.
面白いのはこの本です; The interesting one is this book.
高いのはあのビルです; The expensive one is that building.
安いのは私の車です; The cheap one is my car.
綺麗なのはセントラルパークです; The beautiful one is Central Park.
静かなのは図書館です; The quiet one is the library.
にぎやかなのはタイムズスクエアです; The lively one is Times Square.
便利なのは地下鉄です; The convenient one is the subway.
好きなのは音楽です; The one I like is music.
嫌いなのは魚です; The one I dislike is fish.
上手なのは日本語です; The one I'm good at is Japanese.
下手なのは料理です; The one I'm bad at is cooking.
元気なのは妹です; The energetic one is my younger sister.
暇なのは今日です; The free time is today.
忙しいのは月曜日です; The busy one is Monday.
簡単なのはテストです; The easy one is the test.
難しいのは宿題です; The difficult one is the homework.
冷たいのは水です; The cold one is water.
熱いのはコーヒーです; The hot one is coffee.
暖かいのは春です; The warm one is spring.
涼しいのは秋です; The cool one is autumn.
甘いのはケーキです; The sweet one is cake.
辛いのはカレーです; The spicy one is curry.
高いのはあのレストランです; The expensive one is that restaurant.
安いのはこのカフェです; The cheap one is this cafe.
広いのはわたしの部屋です; The spacious one is my room.
狭いのはトイレです; The narrow one is the bathroom.
長いのはこの道です; The long one is this road.
短いのは鉛筆です; The short one is the pencil.
明るいのは電気です; The bright one is the light.
暗いのは映画館です; The dark one is the movie theater.
重いのはこの箱です; The heavy one is this box.
軽いのはそのかばんです; The light one is that bag.
速いのは新幹線です; The fast one is the bullet train.
遅いのはバスです; The slow one is the bus.
多いのは学生です; The many one is students.
少ないのは時間です; The few one is time.
正しいのは私の答えです; The correct one is my answer.
違うのはあなたの答えです; The different one is your answer.
特別なのは今日のコンサートです; The special one is today's concert.
ニューヨークの有名なのは自由の女神です; The famous one in New York is the Statue of Liberty.
あの白いのはニューヨークのフェリーです; That white one is the New York Ferry.
青いのはエンパイアステートビルのです; The blue one is from the Empire State Building.
黄色いのはタクシーです; The yellow one is a taxi.
緑なのはセントラルパークの木です; The green ones are the trees in Central Park.
