食べてみます; I'll try eating it.
飲んでみます; I'll try drinking it.
行ってみます; I'll try going.
見てみます; I'll try looking at it.
聞いてみます; I'll try asking/listening.
読んでみます; I'll try reading it.
書いてみます; I'll try writing it.
買ってみます; I'll try buying it.
使ってみます; I'll try using it.
やってみます; I'll try doing it.
歩いてみます; I'll try walking.
歌ってみます; I'll try singing.
泳いでみます; I'll try swimming.
座ってみます; I'll try sitting down.
立ってみます; I'll try standing up.
ニューヨークのピザを食べてみたい; I want to try eating New York pizza.
セントラルパークを歩いてみます; I'll try walking in Central Park.
高いビルを見てみます; I'll try looking at the tall buildings.
ブロードウェイのミュージカルを見てみたい; I want to try seeing a Broadway musical.
地下鉄に乗ってみます; I'll try riding the subway.
美術館に行ってみます; I'll try going to the art museum.
英語で話してみます; I'll try speaking in English.
新しい友達を作ってみます; I'll try making a new friend.
ホットドッグを食べてみます; I'll try eating a hot dog.
タイムズスクエアに行ってみたい; I want to try going to Times Square.
図書館で勉強してみます; I'll try studying at the library.
日本語の新聞を読んでみます; I'll try reading a Japanese newspaper.
手紙を書いてみます; I'll try writing a letter.
映画を見てみます; I'll try watching a movie.
コーヒーを飲んでみます; I'll try drinking coffee.
ラジオを聞いてみます; I'll try listening to the radio.
自転車に乗ってみます; I'll try riding a bicycle.
走ってみます; I'll try running.
パーティーに行ってみます; I'll try going to the party.
料理を作ってみます; I'll try cooking.
シャワーを浴びてみます; I'll try taking a shower.
寝てみます; I'll try sleeping.
起きてみます; I'll try waking up.
働いてみます; I'll try working.
遊んでみます; I'll try playing.
エンパイアステートビルディングに上ってみたい; I want to try climbing the Empire State Building.
スタテン島フェリーに乗ってみます; I'll try riding the Staten Island Ferry.
ブルックリン橋を渡ってみます; I'll try crossing the Brooklyn Bridge.
メトロポリタン美術館で日本の美術を見てみたい; I want to try seeing Japanese art at the Metropolitan Museum of Art.
ジャズを聞いてみます; I'll try listening to jazz.
コンサートに行ってみます; I'll try going to a concert.
大学の授業を受けてみます; I'll try taking a university class.
カフェで本を読んでみます; I'll try reading a book at a café.
ニューヨークの冬を経験してみたい; I want to try experiencing a New York winter.
自由の女神像を見てみます; I'll try seeing the Statue of Liberty.
