掃除しなさい; Do the cleaning.
勉強しなさい; Study.
寝なさい; Go to sleep.
起きなさい; Wake up.
食べなさい; Eat.
飲みなさい; Drink.
読みなさい; Read.
書きなさい; Write.
聞きなさい; Listen.
話しなさい; Speak.
駅に行きなさい; Go to the station.
ここに座りなさい; Sit here.
ニューヨークの地図を見なさい; Look at the map of New York.
窓を開けなさい; Open the window.
ドアを閉めなさい; Close the door.
手を洗いなさい; Wash your hands.
電話をしなさい; Make the phone call.
メールをチェックしなさい; Check your email.
音楽を止めなさい; Stop the music.
テレビを見なさい; Watch TV.
薬を飲みなさい; Take your medicine.
宿題をしなさい; Do your homework.
仕事をしなさい; Do your work.
ニューヨークの写真を撮りなさい; Take a picture of New York.
コーヒーを飲みなさい; Drink your coffee.
新聞を読みなさい; Read the newspaper.
銀行でお金をおろしなさい; Withdraw money at the bank.
静かにしなさい; Be quiet.
急ぎなさい; Hurry up.
答えなさい; Answer.
質問をしなさい; Ask a question.
セントラルパークを散歩しなさい; Take a walk in Central Park.
ミュージアムに行きなさい; Go to the museum.
ここで待ちなさい; Wait here.
あちらへ行きなさい; Go over there.
彼に話しなさい; Talk to him.
彼女を助けなさい; Help her.
自分のことは自分でしなさい; Do your own things by yourself.
気をつけなさい; Be careful.
楽しみなさい; Have fun.
ニューヨークのレストランで予約をしなさい; Make a reservation at a New York restaurant.
電車に乗りなさい; Get on the train.
バスを降りなさい; Get off the bus.
次の角を曲がりなさい; Turn at the next corner.
この手紙をポストに入れなさい; Put this letter in the mailbox.
図書館で本を返しなさい; Return the book to the library.
もっと野菜を食べなさい; Eat more vegetables.
十分休みなさい; Rest enough.
あしたの準備をしなさい; Prepare for tomorrow.
