ここはがっこうです。; This is the school.
そこはとしょかんです。; That is the library.
あそこはびじゅつかんです。; That over there is the art museum.
でんわはどこですか。; Where is the telephone?
ここはわたしのへやです。; This is my room.
そこはけいさつです。; That is the police station.
あそこはゆうびんきょくです。; That over there is the post office.
トイレはどこですか。; Where is the bathroom?
ここはアメリカです。; This is America.
そこはカナダです。; That is Canada.
あそこはメキシコです。; That over there is Mexico.
サントスさんはどこですか。; Where is Mr. Santos?
ここはコンビニです。; This is a convenience store.
そこはホテルです。; That is a hotel.
あそこはレストランです。; That over there is a restaurant.
バスていはどこですか。; Where is the bus stop?
ここはあなたのいえです。; This is your house.
そこはたなかさんのうちです。; That is Mr. Tanaka's house.
あそこはがっこうです。; That over there is the school.
でんしゃのえきはどこですか。; Where is the train station?
ここはにほんです。; This is Japan.
そこはちゅうごくです。; That is China.
あそこはかんこくです。; That over there is Korea.
えきはどこですか。; Where is the station?
ここはぎんこうです。; This is the bank.
そこはスーパーです。; That is the supermarket.
あそこはびょういんです。; That over there is the hospital.
バンさんはどこですか。; Where is Mr. Ban?
ここはほんやです。; This is the bookstore.
そこはカフェです。; That is a cafe.
あそこはデパートです。; That over there is the department store.
しんぶんはどこですか。; Where is the newspaper?
ここはわたしのまちです。; This is my town.
そこはともだちのまちです。; That is my friend's town.
あそこはとうきょうです。; That over there is Tokyo.
ペンはどこですか。; Where is the pen?
ここはしょくどうです。; This is the cafeteria.
そこはきっさてんです。; That is a coffee shop.
あそこはえいがかんです。; That over there is a movie theater.
じてんしゃはどこですか。; Where is the bicycle?
ここはだいがくです。; This is the university.
そこはこうこうです。; That is the high school.
あそこはちゅうがっこうです。; That over there is the junior high school.
ノートはどこですか。; Where is the notebook?
ここはくるまです。; This is the car.
そこはバスです。; That is the bus.
あそこはひこうきです。; That over there is the airplane.
しめきりはどこですか。; Where is the deadline? (using しめきり as "deadline" from Genki Ch.2)
ここはやすみばです。; This is the rest area.
そこはみせです。; That is a store.
あそこはアパートです。; That over there is the apartment.
とけいはどこですか。; Where is the clock?
