これは　ほんです。; This is a book.
それは　えんぴつですか。; Is that a pencil?
あれは　とけいです。; That over there is a clock.
どれが　あなたの　かさですか。; Which one is your umbrella?
これは　わたしの　じしょです。; This is my dictionary.
それは　だれの　ノートですか。; Whose notebook is that?
あれは　コンピューターです。; That over there is a computer.
どれが　せんせいの　ペンですか。; Which one is the teacher's pen?
これは　なんですか。; What is this?
それは　ざっしです。; That is a magazine.
あれは　くつです。; That over there is shoes.
どれが　いいですか。; Which one is good?
これは　ちいさい　かばんです。; This is a small bag.
それは　おおきい　ほんですか。; Is that a big book?
あれは　あたらしい　じてんしゃです。; That over there is a new bicycle.
どれが　ふるい　とけいですか。; Which one is the old clock?
これは　やすくないです。; This is not cheap.
それは　たかい　じしょですか。; Is that an expensive dictionary?
あれは　みせです。; That over there is a store.
どれが　がくせいの　かさですか。; Which one is the student's umbrella?
これは　いい　ペンです。; This is a good pen.
それは　アメリカの　しんぶんですか。; Is that an American newspaper?
あれは　にほんの　ざっしです。; That over there is a Japanese magazine.
どれが　あなたの　てがみですか。; Which one is your letter?
これは　だれの　かばんですか。; Whose bag is this?
それは　わたしの　ともだちの　えんぴつです。; That is my friend's pencil.
あれは　せんせいの　くるまです。; That over there is the teacher's car.
どれが　やすい　ノートですか。; Which one is the cheap notebook?
これは　なんの　ほんですか。; What kind of book is this?
それは　えいごの　じしょです。; That is an English dictionary.
あれは　にほんごの　がくせいです。; That over there is a Japanese language student.
どれが　あなたの　いすですか。; Which one is your chair?
これは　おもしろい　ざっしです。; This is an interesting magazine.
それは　つまらない　しんぶんですか。; Is that a boring newspaper?
あれは　おおきくない　みせです。; That over there is not a big store.
どれが　あの　ひとのですか。; Which one is that person's?
これは　なんの　カードですか。; What kind of card is this?
それは　でんわの　カードです。; That is a phone card.
あれは　バスの　カードです。; That over there is a bus card.
どれが　ひとつですか。; Which one is one? (As in, which one is the number one)
これは　ふたつ　あります。; There are two of these.
それは　みっつ　ですか。; Are there three of those?
あれは　よっつ　です。; That over there is four.
どれが　いつつ　ですか。; Which one is five?
これは　むっつ　ありません。; There are not six of these.
それは　ななつ　ありますか。; Are there seven of those?
あれは　やっつ　です。; That over there is eight.
どれが　ここのつ　ですか。; Which one is nine?
これは　とお　です。; This is ten.
それは　いくつ　ですか。; How many is that?
あれは　ゼロです。; That over there is zero.
どれが　あなたの　でんわばんごうですか。; Which one is your phone number?
これは　わたしの　でんわばんごうです。; This is my phone number.
それは　ともだちの　でんわばんごうですか。; Is that your friend's phone number?
あれは　せんせいの　でんわばんごうです。; That over there is the teacher's phone number.
