ここで勉強します; I study here
ニューヨークへ行きます; I will go to New York
あのレストランで食べます; I will eat at that restaurant
セントラルパークを見ます; I will see Central Park
毎日コーヒーを飲みます; I drink coffee every day
図書館で本を読みます; I read books in the library
日本語を話します; I speak Japanese
友達に会います; I will meet my friend
音楽を聞きます; I listen to music
駅で電車を待ちます; I wait for the train at the station
土曜日に働きます; I work on Saturdays
晩ご飯を作ります; I will make dinner
うちへ帰ります; I will return home
英語を習います; I learn English
電話を使います; I use the phone
マンハッタンに住みます; I live in Manhattan
新聞を買います; I will buy a newspaper
手紙を書きます; I will write a letter
パソコンがあります; I have a computer
タイムズスクエアへ行きません; I will not go to Times Square
あの映画を見ません; I will not see that movie
コーラを飲みません; I do not drink cola
高いレストランで食べません; I do not eat at expensive restaurants
日曜日に勉強しません; I do not study on Sundays
あまりテレビを見ません; I don't watch TV much
ニューヨークに住みません; I do not live in New York
日本語を話しません; I do not speak Japanese
あした働きません; I will not work tomorrow
銀行で働きます; I work at a bank
メトロポリタン美術館へ行きます; I will go to the Metropolitan Museum of Art
ブルックリンへ行きません; I will not go to Brooklyn
学校でランチを食べます; I eat lunch at school
スターバックスでコーヒーを飲みます; I drink coffee at Starbucks
友達と映画を見ます; I will see a movie with my friend
毎朝新聞を読みます; I read the newspaper every morning
母に電話します; I will call my mother
地下鉄で大学へ行きます; I go to university by subway
ニューヨークの大学で勉強します; I study at a university in New York
セントラルパークで散歩します; I take a walk in Central Park
自由の女神を見ます; I will see the Statue of Liberty
あしたコンサートへ行きます; I will go to a concert tomorrow
ロックフェラーセンターへ行きません; I will not go to Rockefeller Center
宿題をします; I will do homework
日本の漫画を読みます; I read Japanese manga
ニューヨークの地图を買います; I will buy a map of New York
カフェで勉強します; I study at a cafe
英語のクラスがあります; I have an English class
月曜日にテストがあります; I have a test on Monday
ブロードウェイのミュージカルを見ます; I will see a Broadway musical
家族に写真を送ります; I will send photos to my family
