コーヒーも飲みます。; I also drink coffee.
学生も先生もいます。; There are both students and teachers.
あのレストランも安いです。; That restaurant is also cheap.
図書館も静かです。; The library is also quiet.
月曜日も火曜日も忙しいです。; Both Monday and Tuesday are busy.
ニューヨークも大きいです。; New York is also big.
私の友達も日本人です。; My friend is also Japanese.
これもそれも私の本です。; Both this and that are my books.
日本語のクラスも面白いです。; The Japanese class is also interesting.
映画も見ます。; I also watch movies.
音楽も好きです。; I also like music.
セントラルパークもきれいです。; Central Park is also beautiful.
あのカフェもいいです。; That cafe is also good.
土曜日も日曜日も勉強します。; I study on both Saturday and Sunday.
コーラも水も飲みます。; I drink both cola and water.
バスも電車も便利です。; Both buses and trains are convenient.
私の部屋も広いです。; My room is also spacious.
英語も日本語も難しいです。; Both English and Japanese are difficult.
タイムズスクエアもにぎやかです。; Times Square is also lively.
あのスーパーも安いです。; That supermarket is also cheap.
パンも食べます。; I also eat bread.
駅も近いです。; The station is also close.
韓国語も中国語も勉強します。; I study both Korean and Chinese.
メトロポリタン美術館も有名です。; The Metropolitan Museum of Art is also famous.
晩ご飯も食堂で食べます。; I also eat dinner at the cafeteria.
新しいパソコンも高いです。; The new computer is also expensive.
冬も夏もニューヨークに行きます。; I go to New York in both winter and summer.
この雑誌もあの雑誌も読みます。; I read both this magazine and that magazine.
自転車も歩きます。; I also walk (and use a bicycle).
小さいノートも大きいノートも買います。; I buy both small and large notebooks.
ロックフェラーセンターも楽しいです。; Rockefeller Center is also fun.
宿題も多いです。; The homework is also a lot.
昼ご飯もサンドイッチです。; My lunch is also a sandwich.
あのビルも高いです。; That building is also tall.
友達の家もアパートです。; My friend's house is also an apartment.
テストも簡単です。; The test is also easy.
朝も晩も忙しいです。; I am busy both in the morning and evening.
コーヒーショップもコンビニも多いです。; There are many both coffee shops and convenience stores.
地下鉄もタクシーも使います。; I use both the subway and taxis.
安いレストランも高いレストランもあります。; There are both cheap and expensive restaurants.
ニューヨークのパークも静かです。; The parks in New York are also quiet.
学校の近くにも喫茶店があります。; There is also a coffee shop near the school.
映画館も好きです。; I also like movie theaters.
土曜日も働きます。; I also work on Saturdays.
日本語の本も英語の本も読みます。; I read both Japanese and English books.
あの店のパンもおいしいです。; The bread from that store is also delicious.
銀行も郵便局もあそこです。; Both the bank and the post office are over there.
月曜日も金曜日も学校があります。; I have school on both Monday and Friday.
友達も家族もニューヨークに住んでいます。; Both my friends and family live in New York.
私は学生です。トムさんも学生です。; I am a student. Tom is also a student.
