映画を見ましょう。; Let's watch a movie.
ニューヨークへ行きましょう。; Let's go to New York.
コーヒーを飲みましょう。; Let's drink coffee.
セントラルパークを散歩しましょう。; Let's walk in Central Park.
日本語を勉強しましょう。; Let's study Japanese.
音楽を聞きましょう。; Let's listen to music.
昼ごはんを食べましょう。; Let's eat lunch.
図書館で勉強しましょう。; Let's study at the library.
あした会いましょう。; Let's meet tomorrow.
テレビを見ましょうか。; Shall we watch TV?
いっしょにニューヨークの美術館へ行きましょう。; Let's go to a museum in New York together.
駅で会いましょう。; Let's meet at the station.
コーヒーショップに行きましょうか。; Shall we go to a coffee shop?
晩ごはんを作りましょう。; Let's make dinner.
メトロポリタン美術館へ行きましょう。; Let's go to the Metropolitan Museum of Art.
映画はあとで見ましょう。; Let's watch the movie later.
いまから勉強しましょう。; Let's study from now.
友達に電話をしましょう。; Let's call a friend.
ニューヨークの写真を見ましょう。; Let's look at pictures of New York.
公園でサッカーをしましょう。; Let's play soccer in the park.
レストランで食事をしましょうか。; Shall we have a meal at a restaurant?
タイムズスクエアへ行きましょう。; Let's go to Times Square.
日本語で話しましょう。; Let's speak in Japanese.
学校のあと、カフェに行きましょう。; Let's go to a cafe after school.
本を読みましょう。; Let's read a book.
週末にブルックリンへ行きましょう。; Let's go to Brooklyn on the weekend.
テストの勉強をしましょう。; Let's study for the test.
ニューヨークのマップを見ましょう。; Let's look at a map of New York.
音楽を練習しましょう。; Let's practice music.
あしたの朝、会いましょう。; Let's meet tomorrow morning.
ロックフェラーセンターへ行きましょうか。; Shall we go to Rockefeller Center?
お茶を飲みましょう。; Let's drink tea.
映画館で映画を見ましょう。; Let's watch a movie at the cinema.
いっしょに晩ごはんを食べましょう。; Let's have dinner together.
大学で会いましょう。; Let's meet at the university.
新しいレストランに行きましょう。; Let's go to the new restaurant.
自由の女神を見に行きましょう。; Let's go see the Statue of Liberty.
宿題をしましょう。; Let's do homework.
ニューヨークのコンサートに行きましょう。; Let's go to a concert in New York.
あしたの予定を話しましょう。; Let's talk about tomorrow's plans.
カフェでコーヒーを飲みましょう。; Let's drink coffee at a cafe.
公園で休みましょう。; Let's rest in the park.
バスで行きましょうか。; Shall we go by bus?
ニューヨークのレポートを書きましょう。; Let's write a report about New York.
授業のあと、図書館に行きましょう。; Let's go to the library after class.
テニスをしましょう。; Let's play tennis.
ニューヨークの友達に手紙を書きましょう。; Let's write a letter to our friend in New York.
映画のチケットを買いましょう。; Let's buy movie tickets.
ミュージカルを見に行きましょう。; Let's go see a musical.
いっしょにニューヨークを勉強しましょう。; Let's study about New York together.
あしたの朝、電話をしましょう。; Let's call each other tomorrow morning.
