行きます; I should have gone
映画を見ます; I should have watched the movie
もっと勉強します; I should have studied more
ニューヨークに行きます; I should have gone to New York
セントラルパークでピクニックをします; I should have had a picnic in Central Park
友達に会います; I should have met my friend
日本語を勉強します; I should have studied Japanese
あのコンサートに行きます; I should have gone to that concert
メトロポリタン美術館へ行きます; I should have gone to the Metropolitan Museum of Art
エンパイアステートビルに上ります; I should have gone up the Empire State Building
昨日、宿題をします; I should have done my homework yesterday
駅でもっと注意します; I should have been more careful at the station
彼女に電話します; I should have called her
医者に行きます; I should have gone to the doctor
地下鉄に乗ります; I should have taken the subway
図書館で本を借ります; I should have borrowed a book from the library
ニューヨークのパレードを見ます; I should have seen the parade in New York
もっと早く起きます; I should have woken up earlier
あのレストランで食事をします; I should have eaten at that restaurant
傘を持っていきます; I should have brought an umbrella
彼のアドバイスを聞きます; I should have listened to his advice
チケットを予約します; I should have reserved the tickets
写真を撮ります; I should have taken a picture
もっと野菜を食べます; I should have eaten more vegetables
ブロードウェイのショーを見ます; I should have seen a Broadway show
電車に間に合います; I should have caught the train
あのセーターを買います; I should have bought that sweater
ニューヨークのクリスマスツリーを見ます; I should have seen the Christmas tree in New York
母に手紙を書きます; I should have written a letter to my mother
テストの勉強をします; I should have studied for the test
もっと練習します; I should have practiced more
フェリーで自由の女神を見ます; I should have seen the Statue of Liberty by ferry
プレゼントを買います; I should have bought a present
カメラを持っていきます; I should have brought my camera
パスポートを確認します; I should have checked my passport
ホテルを予約します; I should have reserved a hotel
天気をチェックします; I should have checked the weather
あの本を読みます; I should have read that book
ニューヨークのピザを食べます; I should have tried New York pizza
もっとお金を持っていきます; I should have brought more money
友達の誕生日を覚えます; I should have remembered my friend's birthday
地図を持っていきます; I should have brought a map
コンサートのチケットを買います; I should have bought concert tickets
もっと時間があります; I should have had more time
タイムズスクエアで新年を祝います; I should have celebrated the New Year in Times Square
駅で切符を買います; I should have bought a ticket at the station
サングラスを持っていきます; I should have brought sunglasses
水を持っていきます; I should have brought water
あの道を曲がります; I should have turned on that road
バッテリーを充電します; I should have charged the battery
