お待ちください; Please wait.
少々お待ちください; Please wait a moment.
こちらでお待ちください; Please wait here.
しばらくお待ちください; Please wait for a while.
入り口でお待ちください; Please wait at the entrance.
エンパイアステートビルでお待ちください; Please wait at the Empire State Building.
次の電車をお待ちください; Please wait for the next train.
セントラルパークでお待ちください; Please wait in Central Park.
お静かにお願いします; Please be quiet.
博物館内ではお静かにお願いします; Please be quiet inside the museum.
写真撮影はご遠慮ください; Please refrain from taking pictures.
展示品にはお手を触れないでください; Please do not touch the exhibits.
係員の指示にお従いください; Please follow the staff's instructions.
非常口はこちらです。ご確認ください; The emergency exit is here. Please take note.
お席までご案内します。お越しください; I will guide you to your seat. Please come this way.
まもなく始まりますので、お席にお戻りください; The event will begin shortly, so please return to your seats.
お荷物は自分でお持ちください; Please keep your belongings with you.
このフォームにご記入ください; Please fill out this form.
次の窓口へお進みください; Please proceed to the next window.
電車が混んでいますので、お足元にご注意ください; The train is crowded, so please watch your step.
モイゼス・アベニューでお降りください; Please get off at Moses Avenue.
お忘れ物のないよう、お気をつけください; Please be careful not to leave any belongings behind.
この地図をご覧ください; Please look at this map.
とても良いコンサートですよ。お聞きください; It's a very good concert. Please listen.
このパンフレットをお読みください; Please read this pamphlet.
とても面白い映画です。ぜひご覧ください; It's a very interesting movie. Please be sure to see it.
高層ビルですから、下を覗かないでください; It's a tall building, so please don't look down.
自由の女神まであと十分です。お楽しみに; It's another ten minutes to the Statue of Liberty. Please look forward to it.
トイレはあちらです。ご自由にお使いください; The restroom is over there. Please feel free to use it.
このボタンを押してください; Please press this button.
非常時はこの非常ベルをお鳴らしください; In case of emergency, please ring this emergency bell.
エレベーターをご利用ください; Please use the elevator.
階段をお使いください; Please use the stairs.
お手洗いはそちらでお願いします; The restroom is over there, please.
お支払いはこちらでお願いします; Please make your payment here.
このカウンターでお尋ねください; Please ask at this counter.
次のバスをお待ちください; Please wait for the next bus.
大変人気のミュージカルです。チケットはお早めに; It's a very popular musical. Please get your tickets early.
ロックフェラーセンターのスケートリンクをお楽しみください; Please enjoy the skating rink at Rockefeller Center.
美術館の開館時間をご確認ください; Please check the museum's opening hours.
ブライアントパークでコンサートがあります。どうぞお越しください; There is a concert in Bryant Park. Please come.
アッパーイーストサイドでお会いしましょう; Let's meet on the Upper East Side.
グラウンドゼロを見学するときは、静粛にお願いします; When visiting Ground Zero, please be solemn.
チケットをお見せください; Please show your ticket.
こちらがメトロポリタン美術館への道です。ご参考まで; This is the way to the Metropolitan Museum of Art. For your reference.
5番街は混雑しています。お気をつけて; Fifth Avenue is crowded. Please be careful.
タイムズスクエアで年越しのイベントがあります。どうぞご参加ください; There is a New Year's Eve event in Times Square. Please participate.
地下鉄の切符はこちらでお買い求めください; Please purchase your subway tickets here.
ホテルのロビーでお待ち合わせしましょう; Let's meet in the hotel lobby.
とてもにぎやかなエリアですから、迷子にご注意ください; It's a very busy area, so please be careful not to get lost.
このガイドブックをお役立てください; Please make use of this guidebook.
観光バスのツアーにご参加ください; Please join the sightseeing bus tour.
予約が必要ですので、お電話ください; Reservations are required, so please call.
