掃除しなさい; Do the cleaning.
窓を閉めなさい; Close the window.
宿題をしなさい; Do your homework.
静かにしなさい; Be quiet.
ここに座りなさい; Sit here.
手を洗いなさい; Wash your hands.
歯を磨きなさい; Brush your teeth.
新聞を読みなさい; Read the newspaper.
薬を飲みなさい; Take your medicine.
早く起きなさい; Wake up early.
メモをとりなさい; Take notes.
彼女に電話しなさい; Call her.
ニューヨークの地図を見なさい; Look at the map of New York.
答えを書きなさい; Write the answer.
トイレに行きなさい; Go to the bathroom.
カバンを持ちなさい; Carry the bag.
服を着なさい; Put on your clothes.
靴を履きなさい; Put on your shoes.
音楽を聞きなさい; Listen to music.
テレビを見なさい; Watch TV.
メールをチェックしなさい; Check your email.
昼ご飯を食べなさい; Eat lunch.
コーヒーを飲みなさい; Drink coffee.
本を返しなさい; Return the book.
名前を書きなさい; Write your name.
英語を勉強しなさい; Study English.
駅まで歩きなさい; Walk to the station.
電車に乗りなさい; Get on the train.
バスを降りなさい; Get off the bus.
写真を撮りなさい; Take a picture.
セントラル・パークで走りなさい; Run in Central Park.
ニューヨーク公共図書館へ行きなさい; Go to the New York Public Library.
メトロポリタン美術館を見学しなさい; Visit the Metropolitan Museum of Art.
タイムズスクエアを見に行きなさい; Go see Times Square.
自由の女神に挨拶しなさい; Greet the Statue of Liberty.
ブロードウェイのチケットを買いなさい; Buy tickets for Broadway.
エンパイアステートビルに上りなさい; Go up the Empire State Building.
ブルックリン橋を渡りなさい; Cross the Brooklyn Bridge.
地下鉄の乗り方を覚えなさい; Learn how to ride the subway.
ホットドッグを食べなさい; Eat a hot dog.
レストランを予約しなさい; Make a restaurant reservation.
荷物を開けなさい; Open your luggage.
ドアを閉めなさい; Close the door.
説明を聞きなさい; Listen to the explanation.
プレゼントを包みなさい; Wrap the present.
テーブルを拭きなさい; Wipe the table.
ゴミを捨てなさい; Throw away the trash.
ベッドを直しなさい; Make the bed.
彼に道を教えなさい; Tell him the way.
